Placename,County,Country,lon,lat
Gort,Galway, Ireland,-8.8187485,53.0666432
Galway,Galway, Ireland,-9.0567905,53.270668
Ahascragh,Galway, Ireland,-8.3346318,53.3976127
Athenry,Galway, Ireland,-8.7453768,53.3008131
Ballinasloe Town,Galway, Ireland,-8.2269467,53.3287621
Ballygar,Galway, Ireland,-8.3257391,53.5225627
Gort,Galway, Ireland,-8.8187485,53.0666432
Galway,Galway, Ireland,-9.0567905,53.270668
Ahascragh,Galway, Ireland,-8.3346318,53.3976127
Athenry,Galway, Ireland,-8.7453768,53.3008131
Ballinasloe Town,Galway, Ireland,-8.2269467,53.3287621
Ballygar,Galway, Ireland,-8.3257391,53.5225627
Carraroe,Galway, Ireland,-9.5982671,53.2641084
Claregalway,Galway, Ireland,NA,NA
Clarinbridge,Galway, Ireland,NA,NA
Clifden,Galway, Ireland,-10.0202388,53.4891345
Cloonboo,Galway, Ireland,-8.6601382,53.5137007
Craughwell,Galway, Ireland,-8.7347736,53.2302689
Dunmore,Galway, Ireland,-8.7441461,53.6180163
Eyrecourt,Galway, Ireland,-8.131427,53.1997171
Furbogh,Galway, Ireland,-9.12,53.15
Galway City,Galway, Ireland,-9.0567905,53.270668
Glenamaddy,Galway, Ireland,NA,NA
Gort,Galway, Ireland,-8.8187485,53.0666432
Headford,Galway, Ireland,-9.106134,53.4694617
Killimor,Galway, Ireland,-8.2910516,53.1656231
Kilronan,Galway, Ireland,-9.6703728,53.1232125
Kinvara,Galway, Ireland,-8.9362964,53.1389085
Lackaghbeg,Galway, Ireland,-8.87875,53.3671
Loughrea,Galway, Ireland,-8.5660931,53.1989136
Monivea,Galway, Ireland,-8.702721,53.374262
Mount Bellew,Galway, Ireland,NA,NA
Moycullen,Galway, Ireland,NA,NA
Moylough,Galway, Ireland,-8.565876,53.4877053
Oranmore,Galway, Ireland,-8.9297335,53.2647506
Oughterard,Galway, Ireland,-9.3189472,53.4285481
Portumna,Galway, Ireland,-8.2185406,53.0927811
Roundstone,Galway, Ireland,-9.9190184,53.3964208
Spiddle,Galway, Ireland,-9.3053627,53.2441766
