"Stratford-on-Slaney"  , "Wicklow	"  ,  "Ireland",	
"Tramore Environs"  , "Waterford	"  ,  "Ireland",	
"Villierstown"  , "Waterford	"  ,  "Ireland",	
"Whitegate"  , "Clare	"  ,  "Ireland",	
"Union Hall"  , "Cork	"  ,  "Ireland",	
"Swanlinbar"  , "Cavan	"  ,  "Ireland",	
"Tievebane"  , "Donegal	"  ,  "Ireland",	
"Woodford"  , "Galway	"  ,  "Ireland",	
"Tinure"  , "Louth	"  ,  "Ireland",	
"Stradbally"  , "Waterford	"  ,  "Ireland",	
"Toomevara"  , "Tipperary North	"  ,  "Ireland",	
"Timoleague"  , "Cork	"  ,  "Ireland",	
"Templetuohy"  , "Tipperary North	"  ,  "Ireland",	
"Straffan"  , "Kildare	"  ,  "Ireland",	
"Tinriland"  , "Carlow	"  ,  "Ireland",	
"Watergrasshill"  , "Cork	"  ,  "Ireland",	
"Tulla"  , "Clare	"  ,  "Ireland",	
"Whitegate"  , "Cork	"  ,  "Ireland",	
"Tallanstown"  , "Louth	"  ,  "Ireland",	
"Tyrrellspass"  , "Westmeath	"  ,  "Ireland",	
"Two-Mile Borris"  , "Tipperary North	"  ,  "Ireland",	
"Suncroft"  , "Kildare	"  ,  "Ireland",	
"Termonfeckin"  , "Louth	"  ,  "Ireland",	
"Waterville-Spunkane"  , "Kerry	"  ,  "Ireland",	
"Tarbert"  , "Kerry	"  ,  "Ireland",	
"Tullyallen"  , "Louth	"  ,  "Ireland",	
"Taghmon"  , "Wexford	"  ,  "Ireland",	
"Strokestown"  , "Roscommon	"  ,  "Ireland",	
"Summerhill"  , "Meath	"  ,  "Ireland",	
"Tinahely"  , "Wicklow	"  ,  "Ireland",	
"Urlingford"  , "Kilkenny	"  ,  "Ireland",	
"Tallow"  , "Waterford	"  ,  "Ireland",	
"Strandhill"  , "Sligo	"  ,  "Ireland",	
"Virginia"  , "Cavan	"  ,  "Ireland",	
"Tubbercurry"  , "Sligo	"  ,  "Ireland",	
"Stradbally"  , "Laois	"  ,  "Ireland",	
"Swinford"  , "Mayo	"  ,  "Ireland",	
"Thomastown"  , "Kilkenny	"  ,  "Ireland",	
"Templemore Town"  , "Tipperary North	"  ,  "Ireland",	
"Tullow"  , "Carlow	"  ,  "Ireland",	
"Tower"  , "Cork	"  ,  "Ireland",	
"Tipperary Town"  , "Tipperary South	"  ,  "Ireland",	
"Westport"  , "Mayo	"  ,  "Ireland",	
"Tuam"  , "Galway	"  ,  "Ireland",	
"Trim Town"  , "Meath	"  ,  "Ireland",	
"Youghal"  , "Cork	"  ,  "Ireland",	
"Thurles Town"  , "Tipperary North	"  ,  "Ireland",	
"Tramore"  , "Waterford	"  ,  "Ireland",	
"Wicklow Town"  , "Wicklow	"  ,  "Ireland",	
"Tullamore Town"  , "Offaly	"  ,  "Ireland",	
"Wexford Borough"  , "Wexford	"  ,  "Ireland",	
"Tralee Town"  , "Kerry	"  ,  "Ireland",	
"Swords"  , "Fingal	"  ,  "Ireland",	
"Waterford City"  , "Waterford	"  ,  "Ireland")	
	
