Placename,County,Country,lon,lat
Ballina,Tipperary, Ireland,-8.4309179,52.8070154
Toomevara,TipperaryNorth,Ireland,-8.0350506,52.8507163
Templetuohy,TipperaryNorth,Ireland,-7.72165,52.78847
Two-Mile Borris,TipperaryNorth,Ireland,-7.711433,52.6725745
Templemore Town,TipperaryNorth,Ireland,-7.8398609,52.794802
Thurles Town,TipperaryNorth,Ireland,-7.8044421,52.6801064
Borrisoleigh,TipperaryNorth, Ireland,NA,NA
Borrisoleigh,TipperaryNorth, Ireland,NA,NA
Cloughjordan,TipperaryNorth, Ireland,-8.0383372,52.9429442
Holycross,TipperaryNorth, and Tipperary South,-7.8701794,52.6397686
Littleton,TipperaryNorth, Ireland,-7.735419,52.6369829
Nenagh Town,TipperaryNorth, Ireland,NA,NA
Newport,TipperaryNorth, Ireland,-8.4187938,52.7102172
Portroe,TipperaryNorth, Ireland,NA,NA
Puckaun,TipperaryNorth, Ireland,-8.2385501,52.931884
Reardnogy,TipperaryNorth, Ireland,NA,NA
Roscrea,TipperaryNorth, Ireland,-7.7984696,52.9551789
Silvermines,TipperaryNorth, Ireland,-8.2366272,52.794361
Tipperary Town,TipperarySouth,Ireland,-8.1544426,52.4747264
Ardfinnan,TipperarySouth, Ireland,-7.8842292,52.3092483
Ballingarry,TipperarySouth, Ireland,-7.547113,52.5876621
Ballyclerahan,TipperarySouth, Ireland,NA,NA
Ballyporeen,TipperarySouth, Ireland,-8.0992106,52.2701094
Bansha,TipperarySouth, Ireland,-8.0642959,52.4482369
Ardfinnan,TipperarySouth, Ireland,-7.8842292,52.3092483
Ballingarry,TipperarySouth, Ireland,-7.547113,52.5876621
Ballyclerahan,TipperarySouth, Ireland,NA,NA
Ballyporeen,TipperarySouth, Ireland,-8.0992106,52.2701094
Bansha,TipperarySouth, Ireland,-8.0642959,52.4482369
Cahir,TipperarySouth, Ireland,NA,NA
Cappawhite,TipperarySouth, Ireland,-8.1670499,52.58073
Carrick-on-Suir Town,TipperarySouth, Ireland,NA,NA
Cashel Town,TipperarySouth, Ireland,NA,NA
Clogheen,TipperarySouth, Ireland,-7.9951028,52.2770794
Clonmel Borough,TipperarySouth, Ireland,-7.6993901,52.3532758
Dundrum,TipperarySouth, Ireland,-8.0432251,52.5595234
Emly,TipperarySouth, Ireland,-8.3512916,52.4639181
Fethard,TipperarySouth, Ireland,-7.6927334,52.4659436
Golden,TipperarySouth, Ireland,-7.9807495,52.4984411
Gortnahoo,TipperarySouth, Ireland,NA,NA
Killenaule,TipperarySouth, Ireland,-7.76965,52.53818
Kilsheelan,TipperarySouth, Ireland,-7.5834557,52.3615815
Mullinahone,TipperarySouth, Ireland,NA,NA
Newcastle,TipperarySouth, Ireland,-7.8112834,52.2725965
