Placename,County,Country,lon,lat
Cork City,Cork, Ireland,-8.4863157,51.8968917
Courtmacsherry,Cork, Ireland,-8.7059339,51.6338554
Crookstown,Cork, Ireland,-8.8304319,51.842427
Crosshaven,Cork, Ireland,NA,NA
Doneraile,Cork, Ireland,-8.5859774,52.2151735
Drimoleague,Cork, Ireland,-9.2612453,51.6599357
Dromina,Cork, Ireland,NA,NA
Drommahane,Cork, Ireland,-8.6908349,52.1056038
Dunmanway,Cork, Ireland,NA,NA
Durrus,Cork, Ireland,-9.521993,51.6217112
Farran,Cork, Ireland,-8.7204343,51.8733225
Fermoy Town,Cork, Ireland,-8.2812256,52.1372719
Fountainstown,Cork, Ireland,NA,NA
Glanworth,Cork, Ireland,-8.3567368,52.1866296
Inchigeelagh,Cork, Ireland,-9.1264323,51.8424464
Innishannon,Cork, Ireland,-8.6565357,51.7646154
Kanturk,Cork, Ireland,-8.9051669,52.1772549
Kildorrery,Cork, Ireland,-8.4273898,52.2464986
Killavullen,Cork, Ireland,NA,NA
Killeagh,Cork, Ireland,NA,NA
Killumney,Cork, Ireland,-8.6588064,51.8628897
Kilworth,Cork, Ireland,-8.2473123,52.1760533
Kinsale Town,Cork, Ireland,-8.5222327,51.7058853
Knockglass,Cork, Ireland,-8.0302981,51.8903507
Knocknagree,Cork, Ireland,NA,NA
Leap,Cork, Ireland,NA,NA
Liscarroll,Cork, Ireland,-8.8041711,52.2600728
Macroom Town,Cork, Ireland,-8.9588478,51.9048039
Mallow Town,Cork, Ireland,-8.6539164,52.1389762
Midleton Town,Cork, Ireland,-8.1726276,51.9143321
Milford,Cork, Ireland,-8.8565457,52.340739
Millstreet,Cork, Ireland,-9.0647121,52.0601318
Mitchelstown,Cork, Ireland,-8.2698863,52.2662127
Model Village (or Dripsey),Cork, Ireland,NA,NA
Newmarket,Cork, Ireland,NA,NA
Newtown,Cork, Ireland,-8.3803862,51.8282409
Passage West,Cork, Ireland,-8.3362128,51.8720626
Rathard,Cork, Ireland,-8.7384071,51.8483429
Rathcormac,Cork, Ireland,-8.28176,52.07613
Rathluirc (or Charleville),Cork, Ireland,NA,NA
Ringaskiddy (or Loughbeg),Cork, Ireland,-8.32298,51.83142
Rosscarbery,Cork, Ireland,-9.038,51.57767
Schull,Cork, Ireland,-9.5479801,51.526867
Shanagarry,Cork, Ireland,-8.0299249,51.8527122
Skibbereen Town,Cork, Ireland,-9.2621303,51.5559244
Clonakilty,Cork, Ireland,-8.9055104,51.6203379
Schull,Cork, Ireland,-9.5479801,51.526867
Aghada-Farsid-Rostellan,Cork, Ireland,-8.19901,51.8435
Ballineen and Enniskean,Cork, Ireland,NA,NA
Ballingeary,Cork, Ireland,-9.2326402,51.8507469
Ballyclogh,Cork, Ireland,NA,NA
Ballycotton,Cork, Ireland,-8.0097621,51.8299148
Ballydehob,Cork, Ireland,-9.4553674,51.5630082
Ballydesmond,Cork, Ireland,-9.2341524,52.1796564
Ballyhooly,Cork, Ireland,-8.3980968,52.1452748
Ballymakeery,Cork, Ireland,-9.1454314,51.9363905
Baltimore,Cork, Ireland,-9.3661093,51.4843274
Bandon,Cork, Ireland,-8.7253133,51.7472382
Banteer,Cork, Ireland,-8.8935092,52.1294606
Bantry,Cork, Ireland,-9.4525763,51.6800803
Blarney,Cork, Ireland,-8.5612438,51.9338275
Boherbue,Cork, Ireland,-9.0684828,52.1582386
Bridebridge,Cork, Ireland,NA,NA
Buttevant,Cork, Ireland,-8.6701247,52.2321335
Carrigaline,Cork, Ireland,-8.3914957,51.817905
Carrigtwohill,Cork, Ireland,NA,NA
Castlelyons,Cork, Ireland,-8.2336991,52.0885669
Castlemartyr,Cork, Ireland,-8.0535486,51.9119477
Castletownbere,Cork, Ireland,-9.9103302,51.6514954
Castletownroche,Cork, Ireland,-8.4634479,52.1731113
Castletownshend,Cork, Ireland,-9.1793869,51.5265757
Churchbay,Cork, Ireland,-8.28217,51.79577
Clonakilty Town,Cork, Ireland,-8.9055104,51.6203379
Cloyne,Cork, Ireland,-8.121237,51.8630971
Coachford,Cork, Ireland,-8.7889601,51.909471
Cobh Town,Cork, Ireland,NA,NA
Conna,Cork, Ireland,-8.1073545,52.0931079
