Placename,County,Country,lon,lat
Athlone,Westmeath,Ireland,-7.9406898,53.4239331
Moate,Westmeath,Ireland,NA,NA
Moate,Westmeath,Ireland,-7.7186188,53.3949987
 Mullingar,Westmeath,Ireland,-7.3381378,53.5259334
Castlepollard,Westmeath,Ireland,-7.2964508,53.6800722
Athlone Town,Westmeath, Ireland,-7.9406898,53.4239331
Ballymore,Westmeath, Ireland,-7.6797464,53.4909131
Ballynacargy,Westmeath, Ireland,NA,NA
Castlepollard,Westmeath, Ireland,-7.2964508,53.6800722
Clonmellon,Westmeath, Ireland,-7.0183933,53.6640717
Collinstown,Westmeath, Ireland,NA,NA
Delvin,Westmeath, Ireland,-7.0917224,53.6125653
Glassan,Westmeath, Ireland,-7.8639073,53.4699107
Kilbeggan,Westmeath, Ireland,-7.4944858,53.365076
Killucan-Rathwire,Westmeath, Ireland,-7.1427857,53.5136852
Kinnegad,Westmeath, Ireland,NA,NA
Moate,Westmeath, Ireland,NA,NA
Mullingar,Westmeath, Ireland,-7.3381378,53.5259334
Multyfarnham,Westmeath, Ireland,-7.3893159,53.6252723
Raharney,Westmeath, Ireland,-7.0960894,53.5241052
Rochfortbridge,Westmeath, Ireland,-7.2996835,53.4146417
Athlone,Westmeath,Ireland,-7.9406898,53.4239331
Moate,Westmeath,Ireland,NA,NA
Moate,Westmeath,Ireland,-7.7186188,53.3949987
