Placename,County,Country,lon,lat
Tinriland, Carlow,Ireland,-6.8957413,52.7969671
Tullow, Carlow,Ireland,-6.7371517,52.802547
Urlingford, Kilkenny,Ireland,NA,NA
Thomastown, Kilkenny,Ireland,-7.1388211,52.5270825
Taghmon, Wexford,Ireland,-6.6546699,52.3229838
Wexford Borough, Wexford,Ireland,-6.4633381,52.336916
Stratford-on-Slaney, Wicklow,Ireland,-6.6750765,52.9878852
Tinahely, Wicklow,Ireland,-6.4631844,52.7997634
Wicklow Town, Wicklow,Ireland,NA,NA
Swords, Fingal,Ireland,-6.2197406,53.4557467
Allenwood, Kildare, Ireland,-6.8618406,53.2839545
Athy Town, Kildare, Ireland,-6.9857281,52.9918336
Ballitore, Kildare, Ireland,NA,NA
Ballymore Eustace, Kildare, Ireland,-6.6148809,53.1330099
Ballyoulster, Kildare, Ireland,-6.5151111,53.3403634
Ballyroe, Kildare, Ireland,-6.9437523,52.956216
Ballysax, Kildare, Ireland,-6.81287,53.12651
Brownstown, Kildare, Ireland,-6.94318,53.27041
Adamstown, Wexford, Ireland,-6.7185567,52.3935687
Ballycanew, Wexford, Ireland,-6.3049672,52.6106782
Ballycullane, Wexford, Ireland,NA,NA
Ballygeary (or Rosslare Harbour), Wexford, Ireland,-6.3414908,52.2513061
Ballyhack, Wexford, Ireland,-6.964192,52.2484749
Ballysimon, Wexford, Ireland,-6.4872215,52.5232771
Barntown, Wexford, Ireland,NA,NA
Bridgetown, Wexford, Ireland,-6.549064,52.2302422
Arklow Town, Wicklow, Ireland,-6.1599293,52.7976935
Ashford, Wicklow, Ireland,-6.108289,53.0107896
Aughrim, Wicklow, Ireland,NA,NA
Avoca, Wicklow, Ireland,-6.2140891,52.8586664
Baltinglass, Wicklow, Ireland,-6.71098,52.9407807
Blessington, Wicklow, Ireland,-6.5340687,53.1696579
Bray, Wicklow, Ireland,-6.1110741,53.200903
Arklow Town,Wicklow, Ireland,-6.1599293,52.7976935
Ashford,Wicklow, Ireland,-6.108289,53.0107896
Aughrim,Wicklow, Ireland,NA,NA
Avoca,Wicklow, Ireland,-6.2140891,52.8586664
Baltinglass,Wicklow, Ireland,-6.71098,52.9407807
Blessington,Wicklow, Ireland,-6.5340687,53.1696579
Bray,Wicklow, Ireland,-6.1110741,53.200903
Carnew,Wicklow, Ireland,-6.4992316,52.7096658
Donard,Wicklow, Ireland,NA,NA
Dunlavin,Wicklow, Ireland,-6.7016395,53.0578764
Enniskerry,Wicklow, Ireland,-6.1707299,53.1935037
Glenealy,Wicklow, Ireland,-6.1445729,52.9666341
Greystones,Wicklow, Ireland,-6.0793414,53.1491175
Kilcoole,Wicklow, Ireland,-6.0645861,53.1062723
Kilmacanogue,Wicklow, Ireland,NA,NA
Kilpedder,Wicklow, Ireland,-6.1055471,53.1103735
Laragh,Wicklow, Ireland,-6.3004389,53.0089293
Newcastle,Wicklow, Ireland,NA,NA
Newtownmountkennedy,Wicklow, Ireland,NA,NA
Rathdrum,Wicklow, Ireland,-6.2311012,52.9323123
Rathnew,Wicklow, Ireland,-6.082812,52.9946004
Roundwood,Wicklow, Ireland,-6.2241877,53.0657875
Shillelagh,Wicklow, Ireland,-6.5334605,52.7545156
Ballon,Carlow, Ireland,NA,NA
Borris,Carlow, Ireland,-6.9230824,52.5998053
Adamstown,Wexford, Ireland,-6.7185567,52.3935687
Ballycanew,Wexford, Ireland,-6.3049672,52.6106782
Ballycullane,Wexford, Ireland,NA,NA
Ballygeary (or Rosslare Harbour),Wexford, Ireland,-6.3414908,52.2513061
Ballyhack,Wexford, Ireland,-6.964192,52.2484749
Ballysimon,Wexford, Ireland,-6.4872215,52.5232771
Barntown,Wexford, Ireland,NA,NA
Bridgetown,Wexford, Ireland,-6.549064,52.2302422
Camolin,Wexford, Ireland,-6.4263356,52.6156787
Campile,Wexford, Ireland,-6.9412808,52.2876617
Castle Ellis,Wexford, Ireland,-6.61987,52.52144
Castlebridge,Wexford, Ireland,-6.4502872,52.3824281
Clongeen,Wexford, Ireland,-6.7733493,52.2966589
Clonroche,Wexford, Ireland,NA,NA
Coolgreany,Wexford, Ireland,-6.2360077,52.7647077
Courtown Harbour,Wexford, Ireland,NA,NA
Danescastle,Wexford, Ireland,-6.7311899,52.2418678
Duncannon,Wexford, Ireland,-6.9325606,52.2206117
Duncormick,Wexford, Ireland,-6.6550542,52.2285412
Enniscorthy Town,Wexford, Ireland,NA,NA
Ferns,Wexford, Ireland,-6.4980105,52.5909249
Fethard-on-Sea,Wexford, Ireland,-6.8402182,52.1923021
