Year,Quarter,Views,WatchTime_Hours,Subscribers
2014,Q1,9000,1400,200
2014,Q2,8200,1300,186
2014,Q3,19100,2500,336
2014,Q4,16000,1900,263
2015,Q1,13500,1500,244
2015,Q2,11700,1200,210
2015,Q3,39500,4500,325
2015,Q4,45800,4500,402
2016,Q1,33800,3200,332
2016,Q2,31100,2900,293
2016,Q3,67700,7300,410
2016,Q4,43100,4100,356
2017,Q1,35800,3600,362
2017,Q2,34500,3300,354
2017,Q3,90800,9600,528
2017,Q4,50600,5100,513
2018,Q1,54000,5500,834
2018,Q2,59700,6200,735
2018,Q3,212400,22300,3400
2018,Q4,116300,11200,1700
2019,Q1,129800,12300,1700
2019,Q2,112300,10900,1400
2019,Q3,208400,22300,1800
2019,Q4,112900,10600,1500
2020,Q1,103400,9700,1400
2020,Q2,196100,19000,3200
2020,Q3,706200,68700,15200
2020,Q4,738600,60800,12900
