Placename,County,Country,lon,lat
Cahersiveen,Kerry, Ireland,-10.2209047,51.9477992
Castlegregory,Kerry, Ireland,-10.0207218,52.2534651
Castleisland,Kerry, Ireland,-9.4601492,52.2328974
Causeway,Kerry, Ireland,-9.7330771,52.414422
Cromane,Kerry, Ireland,-9.8985347,52.1061221
Dingle,Kerry, Ireland,-10.2640135,52.1409389
Fenit,Kerry, Ireland,-9.8612114,52.2784045
Glenbeigh,Kerry, Ireland,-9.9403477,52.0561861
Gneevgullia,Kerry, Ireland,-9.2719471,52.1166851
Kenmare,Kerry, Ireland,-9.5835203,51.8801017
Kilgarvan,Kerry, Ireland,-9.4384061,51.9031476
Killarney Town,Kerry, Ireland,NA,NA
Killorglin,Kerry, Ireland,-9.7843403,52.1063508
Knightstown,Kerry, Ireland,-10.2918805,51.9253777
Listowel Town,Kerry, Ireland,-9.4853655,52.4460488
Lixnaw,Kerry, Ireland,-9.6181276,52.4064615
Milltown,Kerry, Ireland,-9.7175069,52.1451912
Newtownsandes,Kerry, Ireland,-9.3705466,52.5016803
Rathmore,Kerry, Ireland,-9.2184337,52.0842484
Sneem,Kerry, Ireland,-9.8983245,51.8373942
Spa,Kerry, Ireland,-9.7885,52.27539
Waterville-Spunkane,Kerry,Ireland,-10.17266,51.8277
Tarbert,Kerry,Ireland,-9.3751312,52.5725966
Tralee Town,Kerry,Ireland,-9.6999325,52.2713096
Abbeydorney,Kerry, Ireland,-9.6879095,52.346618
Annascaul,Kerry, Ireland,-10.0567611,52.1510786
Ardfert,Kerry, Ireland,NA,NA
Ballybunion,Kerry, Ireland,-9.67097,52.51108
Ballyduff,Kerry, Ireland,NA,NA
Ballyheigue,Kerry, Ireland,-9.8277419,52.3904645
Ballylongford,Kerry, Ireland,-9.4788097,52.5479992
Beaufort,Kerry, Ireland,NA,NA
Brosna,Kerry, Ireland,-9.2707098,52.3127106
