Placename,County,Country,lon,lat
Abbeyfeale,Limerick, Ireland,-9.2970823,52.3861811
Adare,Limerick, Ireland,-8.7925892,52.5636339
Annacotty,Limerick, Ireland,-8.5376764,52.6680427
Ardagh,Limerick, Ireland,-9.0637201,52.4941233
Askeaton,Limerick, Ireland,-8.9717511,52.6006587
Athea,Limerick, Ireland,-9.289613,52.4609895
Ballingarry,Limerick, Ireland,NA,NA
Ballyagran,Limerick, Ireland,NA,NA
Ballylanders,Limerick, Ireland,NA,NA
Broadford,Limerick, Ireland,NA,NA
Bruff,Limerick, Ireland,-8.5470439,52.4755947
Bruree,Limerick, Ireland,NA,NA
Abbeyfeale,Limerick, Ireland,-9.2970823,52.3861811
Adare,Limerick, Ireland,-8.7925892,52.5636339
Annacotty,Limerick, Ireland,-8.5376764,52.6680427
Ardagh,Limerick, Ireland,-9.0637201,52.4941233
Askeaton,Limerick, Ireland,-8.9717511,52.6006587
Athea,Limerick, Ireland,-9.289613,52.4609895
Ballingarry,Limerick, Ireland,NA,NA
Ballyagran,Limerick, Ireland,NA,NA
Ballylanders,Limerick, Ireland,NA,NA
Broadford,Limerick, Ireland,NA,NA
Bruff,Limerick, Ireland,-8.5470439,52.4755947
Bruree,Limerick, Ireland,NA,NA
Caherconlish,Limerick, Ireland,-8.472297,52.5951557
Cappamore,Limerick, Ireland,-8.3368804,52.6152436
Carrigkerry,Limerick, Ireland,-9.1484838,52.4946971
Castleconnell,Limerick, Ireland,NA,NA
Coonagh,Limerick, Ireland,NA,NA
Croom,Limerick, Ireland,NA,NA
Doon,Limerick, Ireland,NA,NA
Dromcolliher,Limerick, Ireland,NA,NA
Foynes,Limerick, Ireland,NA,NA
Galbally,Limerick, Ireland,-8.2961252,52.4012269
Glen,Limerick, Ireland,-8.6306669,52.661149
Glin,Limerick, Ireland,-9.284973,52.5719106
Hospital,Limerick, Ireland,NA,NA
Kilfinane,Limerick, Ireland,-8.4672787,52.3586898
Kilmallock,Limerick, Ireland,NA,NA
Knocklong,Limerick, Ireland,NA,NA
Limerick City,Limerick, Ireland,NA,NA
Moroe,Limerick, Ireland,-8.4034635,52.6492908
Mountcollins,Limerick, Ireland,-8.974056,52.345099
Mungret,Limerick, Ireland,-8.6304976,52.6680204
Newcastle West,Limerick, Ireland,-9.0545815,52.4487503
Oola,Limerick, Ireland,-8.2595819,52.5297043
Pallas Green,Limerick, Ireland,-8.35282,52.54911
Pallaskenry,Limerick, Ireland,-8.8673168,52.6440285
Patrickswell,Limerick, Ireland,-8.7068627,52.5982214
Rathkeale,Limerick, Ireland,-8.9370966,52.5238067
Shanagolden,Limerick, Ireland,-9.1003603,52.5746413
