"Name","Date","Likes","Followers"
"Aengus O Snodaigh",2021-05-10,8691,8902
"Aengus O Snodaigh",2021-06-05,8692,8902
"Aengus O Snodaigh",2021-06-21,8688,8900
"Aengus O Snodaigh",2021-07-16,8691,8901
"Aengus O Snodaigh",2021-08-17,8688,8902
"AFA Ireland",2021-05-13,17257,17997
"AFA Ireland",2021-06-05,17280,18012
"AFA Ireland",2021-06-21,17309,18043
"AFA Ireland",2021-07-16,17415,18157
"AFA Ireland",2021-08-19,17391,18147
"AIA Ireland",2021-06-11,528,545
"AIA Ireland",2021-07-01,603,620
"AIA Ireland",2021-07-18,752,784
"AIA Ireland",2021-08-19,1050,1091
"AIA Ireland",2021-08-26,1104,1150
"Aidan Davitt",2021-05-14,2358,2381
"Aidan Davitt",2021-06-07,2358,2381
"Aidan Davitt",2021-07-01,2359,2382
"Aidan Davitt",2021-07-18,2361,2384
"Aidan Davitt",2021-08-17,2359,2382
"Aindrias Moynihan",2021-05-14,2165,2256
"Aindrias Moynihan",2021-06-07,2174,2266
"Aindrias Moynihan",2021-07-01,2185,2278
"Aindrias Moynihan",2021-07-18,2190,2284
"Aindrias Moynihan",2021-08-17,2195,2292
"Alan Dillon",2021-05-14,5514,5875
"Alan Dillon",2021-06-07,5541,5914
"Alan Dillon",2021-06-12,5546,5923
"Alan Dillon",2021-07-02,5557,5944
"Alan Dillon",2021-07-22,5634,6029
"Alan Dillon",2021-08-26,5669,6085
"Alan Farrell",2021-05-14,1469,1576
"Alan Farrell",2021-06-07,1473,1584
"Alan Farrell",2021-07-01,1480,1596
"Alan Farrell",2021-07-22,1487,1601
"Alan Farrell",2021-08-26,1500,1618
"Alan Kelly",2021-05-10,2951,3202
"Alan Kelly",2021-06-05,8903,9157
"Alan Kelly",2021-06-11,8894,9148
"Alan Kelly",2021-06-14,8890,9144
"Alan Kelly",2021-06-16,8889,9142
"Alan Kelly",2021-07-01,8884,9139
"Alan Kelly",2021-07-22,8893,9153
"Alan Kelly",2021-08-26,8873,9139
"Alice-Mary Higgins",2021-05-13,2249,2309
"Alice-Mary Higgins",2021-06-05,2250,2312
"Alice-Mary Higgins",2021-06-21,2258,2320
"Alice-Mary Higgins",2021-07-16,2257,2319
"Alice-Mary Higgins",2021-08-19,2265,2328
"Alice Mary Higgins",2021-05-14,2248,2308
"Alice Mary Higgins",2021-06-07,2251,2313
"Alice Mary Higgins",2021-07-01,2257,2319
"Alice Mary Higgins",2021-07-22,2258,2320
"Alice Mary Higgins",2021-08-25,2265,2329
"Andrea Dalton",2021-05-13,3623,3775
"Andrea Dalton",2021-06-05,3636,3789
"Andrea Dalton",2021-06-21,3641,3798
"Andrea Dalton",2021-07-16,3670,3836
"Andrea Dalton",2021-08-17,3685,3854
"Anita Mhic Gib Aontu",2021-05-18,500,559
"Anita Mhic Gib Aontu",2021-06-10,502,562
"Anita Mhic Gib Aontu",2021-07-01,504,564
"Anita Mhic Gib Aontu",2021-07-22,503,563
"Anita Mhic Gib Aontu",2021-08-25,504,563
"Anna Daly Aontu",2021-05-10,496,536
"Anna Daly Aontu",2021-06-05,503,544
"Anna Daly Aontu",2021-06-21,502,543
"Anna Daly Aontu",2021-07-16,505,548
"Anna Daly Aontu",2021-08-17,504,547
"Anne Rabbitte",2021-05-14,5701,6091
"Anne Rabbitte",2021-05-22,5728,6120
"Anne Rabbitte",2021-06-11,5830,6224
"Anne Rabbitte",2021-06-16,5859,6254
"Anne Rabbitte",2021-07-01,5945,6345
"Anne Rabbitte",2021-07-22,6122,6528
"Anne Rabbitte",2021-08-26,6184,6697
"Annie Hoey",2021-05-08,1406,1558
"Annie Hoey",2021-05-16,1405,1558
"Annie Hoey",2021-06-11,1408,1562
"Annie Hoey",2021-07-01,1409,1563
"Annie Hoey",2021-07-22,1413,1569
"Annie Hoey",2021-08-26,1415,1572
"Anthony Lawlor",2021-05-14,2372,2370
"Anthony Lawlor",2021-06-07,2370,2369
"Anthony Lawlor",2021-07-01,2369,2368
"Anthony Lawlor",2021-07-22,2368,2367
"Anthony Lawlor",2021-08-26,2365,2364
"Anti-Austerity Anti-Corruption Ireland",2021-05-10,623,630
"Anti-Austerity Anti-Corruption Ireland",2021-06-05,621,628
"Anti-Austerity Anti-Corruption Ireland",2021-06-21,621,629
"Anti-Austerity Anti-Corruption Ireland",2021-07-16,620,628
"Anti-Austerity Anti-Corruption Ireland",2021-08-17,618,626
"Anti-Corruption Ireland",2021-05-10,5979,8927
"Anti-Corruption Ireland",2021-05-16,5973,8919
"Anti-Corruption Ireland",2021-06-06,5958,8896
"Anti-Corruption Ireland",2021-06-12,5951,8887
"Anti-Corruption Ireland",2021-06-16,5948,8882
"Anti-Corruption Ireland",2021-06-22,5945,8875
"Anti-Corruption Ireland",2021-07-16,5931,8850
"Anti-Corruption Ireland",2021-08-17,5916,8835
"Anti-Corruption Ireland Party",2021-05-16,1431,1506
"Anti-Corruption Ireland Party",2021-06-11,1418,1492
"Anti-Corruption Ireland Party",2021-06-16,1416,1490
"Anti-Corruption Ireland Party",2021-07-16,1411,1485
"Anti-Corruption Ireland Party",2021-08-16,1406,1480
"Anti-Eviction Taskforce",2021-05-10,20052,20821
"Anti-Eviction Taskforce",2021-06-05,20037,20797
"Anti-Eviction Taskforce",2021-06-06,20038,20798
"Anti-Eviction Taskforce",2021-06-29,20015,20771
"Anti-Eviction Taskforce",2021-07-18,19995,20752
"Anti-Eviction Taskforce",2021-08-14,19980,20737
"Anti-Eviction Taskforce Clare",2021-05-13,1070,1103
"Anti-Eviction Taskforce Clare",2021-06-05,1068,1101
"Anti-Eviction Taskforce Clare",2021-06-22,1067,1100
"Anti-Eviction Taskforce Clare",2021-07-16,1072,1105
"Anti-Eviction Taskforce Clare",2021-08-16,1071,1104
"Anti-Eviction Taskforce Donegal",2021-05-18,1445,1473
"Anti-Eviction Taskforce Donegal",2021-06-06,1442,1470
"Anti-Eviction Taskforce Donegal",2021-06-22,1437,1466
"Anti-Eviction Taskforce Donegal",2021-07-16,1436,1464
"Anti-Eviction Taskforce Donegal",2021-08-16,1441,1469
"Anti-Globalism Ireland",2021-05-08,502,507
"Anti-Globalism Ireland",2021-05-10,502,507
"Anti-Globalism Ireland",2021-06-05,500,505
"Anti-Globalism Ireland",2021-06-22,503,508
"Anti-Globalism Ireland",2021-07-16,501,505
"Anti-Globalism Ireland",2021-08-16,500,504
"Anti Eviction Taskforce",2021-05-16,20056,20823
"Anti Eviction Taskforce",2021-06-11,20029,20788
"Anti Eviction Taskforce",2021-06-16,20026,20785
"Anti Eviction Taskforce",2021-06-22,20019,20777
"Anti Eviction Taskforce",2021-07-16,19999,20756
"Anti Eviction Taskforce",2021-08-16,19980,20736
"Anti Eviction Taskforce Cork",2021-05-16,1178,1209
"Anti Eviction Taskforce Cork",2021-06-06,1178,1209
"Anti Eviction Taskforce Cork",2021-06-29,1178,1209
"Anti Eviction Taskforce Cork",2021-07-18,1178,1209
"Anti Eviction Taskforce Cork",2021-08-17,1177,1208
"Anti Eviction Taskforce Galway",2021-05-16,1391,1425
