Channel,Date,Videos,Subscribers,Views 
National Party,2020-10-25,201,11400,999624
National Party,2020-11-03,202,11400,1015406
Irish Freedom Party,2020-10-25,73,9410,852884
Síol na hÉireann Niall McConnell,2020-10-25,338,12700,944542
Síol na hÉireann Niall McConnell,2021-01-11,15,12300,13764 
Grand Torino,2021-01-11,592,26200,2892687
Irish Freedom Party,2021-01-11,90,9990,935840
National Party,2021-01-11,206,11100,1036785
Gript Media,2021-01-11,398,4680,474159
Yellow Vest Ireland,2021-01-11,60,468,17388
Síol na hÉireann Niall McConnell,2020-11-03,21,12700,55964
Gript Media,2020-10-25,376,4450,436617
Yellow Vest Ireland,2020-10-25,59,464,16224
Freedom Ireland,2020-10-25,9,43,1708
Grand Torino,2020-10-25,553,26500,2742888 
Eirigi,2020-10-25,194,1120,703763
Gript Media, 2020-11-03,380,4480,446002
Grand Torino,2020-11-03,553,26500,2772507 
Yellow Vest Ireland,2020-11-03,60,467,16732 
