Name,Date,Followers,Likes
Aengus O Snodaigh,2021-01-25,8814,8642
Aindrias Moynihan,2021-01-25,2146,2057
Alan Dillon,2021-01-25,5655,5381
Alan Farrell,2021-01-25,1515,1432
Alan Kelly,2021-01-25,2938,2738
Anne Rabbitte,2021-01-25,5853,5486
Aodhan O Riordain,2021-01-25,20888,20247
Barry Cowen,2021-01-25,0
Bernard Durkan,2021-01-25,3666,3592
Brendan Griffin,2021-01-25,4166,4125
Brendan Howlin,2021-01-25,0
Brendan Smith,2021-01-25,3787,3605
Brian Leddin,2021-01-25,702,656
Brian Stanley,2021-01-25,26,24
Brid Smith,2021-01-25,16776,16294
Carol Nolan,2021-01-25,3264,3211
Cathal Berry,2021-01-25,3221,2923
Cathal Crowe,2021-01-25,5693,5354
Catherine Connolly,2021-01-25,17262,15944
Catherine Martin,2021-01-25,3433,3169
Catherine Murphy,2021-01-25,9909,10097
Charles Flanagan,2021-01-25,0
Charlie McConalogue,2021-01-25,9365,9183
Chris Andrews,2021-01-25,2160,2049
Christopher O'Sullivan,2021-01-25,4125,3855
Cian O'Callaghan,2021-01-25,2417,2271
Ciaran Cannon,2021-01-25,5226,5126
Claire Kerrane,2021-01-25,3937,3779
Colm Brophy,2021-01-25,1520,1417
Colm Burke,2021-01-25,2675,2544
Cormac Devlin,2021-01-25,3226,3024
Damien English,2021-01-25,4861,4703
Danny Healy-Rae,2021-01-25,15856,13545
Dara Calleary,2021-01-25,9796,9110
Darragh O'Brien,2021-01-25,5222,4878
Darren O'Rourke,2021-01-25,7931,7783
David Cullinane,2021-01-25,14669,14316
David Stanton,2021-01-25,2268,2138
Denis Naughten,2021-01-25,10618,10172
Denise Mitchell,2021-01-25,2587,2444
Dessie Ellis,2021-01-25,8855,8869
Donnchadh O Laoghaire,2021-01-25,11015,10513
Duncan Smith,2021-01-25,2471,2299
Éamon O Cuiv,2021-01-25,8318,8223
Eamon Ryan,2021-01-25,8052,7828
Emer Higgins,2021-01-25,3200,2917
Eoghan Murphy,2021-01-25,4653,4494
Eoin O Broin,2021-01-25,14052,13440
Fergus O'Dowd,2021-01-25,6588,6373
Francis Noel Duffy,2021-01-25,1176,1115
Frank Feighan,2021-01-25,4994,4785
Gary Gannon,2021-01-25,3376,3266
Ged Nash,2021-01-25,6301,6213
Gino Kenny,2021-01-25,9751,9433
Heather Humphreys,2021-01-25,6502,6041
Helen McEntee,2021-01-25,11221,10458
Hildegarde Naughton,2021-01-25,3126,3042
Holly Cairns,2021-01-25,8917,8404
Imelda Munster,2021-01-25,4527,4396
Jack Chambers,2021-01-25,5695,5489
Jackie Cahill,2021-01-25,9550,9314
James Browne,2021-01-25,6977,6768
James Lawless,2021-01-25,6729,6585
James O'Connor,2021-01-25,2859,2652
Jennifer Carroll MacNeill,2021-01-25,1797,1640
Jennifer Murnane O'Connor,2021-01-25,9299,9022
Jennifer Whitmore,2021-01-25,3997,3725
Jim O'Callaghan,2021-01-25,2472,2348
Joan Collins,2021-01-25,7592,7482
Joe Carey,2021-01-25,6680,6682
Joe Flaherty,2021-01-25,3594,3492
Joe McHugh,2021-01-25,7168,6818
Joe O'Brien,2021-01-25,1009,955
John Brady,2021-01-25,8950,8637
John Lahart,2021-01-25,3801,3633
John McGuinness,2021-01-25,7587,7446
John Paul Phelan,2021-01-25,1488,1413
Johnny Guirke,2021-01-25,5372,5172
Johnny Mythen,2021-01-25,2438,2363
Josepha Madigan,2021-01-25,6907,6488
Kathleen Funchion,2021-01-26,7410,7177
Kieran O'Donnell,2021-01-26,2982,2904
Leo Varadkar,2021-01-26,107001,90801
Louise O'Reilly,2021-01-26,5127,4738
Mairéad Farrell,2021-01-26,12791,12379
Malcolm Noonan,2021-01-26,1656,1476
Marc MacSharry,2021-01-26,3986,3855
Marc O Cathasaigh,2021-01-26,1209,1104
Marian Harkin,2021-01-26,4199,4063
Mark Ward,2021-01-26,13235,13014
Martin Browne,2021-01-26,4934,4739
Martin Heydon,2021-01-26,6392,6230
