Channel,Date,Subscribers,Views
Critical Drinker,2022-01-02,1030000,227895315
Critical Drinker,2022-01-05,1040000,229143213
Critical Drinker,2022-12-10,1520000,383750195
Clownfish TV,2021-01-05,250000,128060956
Clownfish TV,2022-12-10,282000,181276435
Nerdrotic,2021-01-05,388000,69647790
Nerdrotic,2022-12-10,631000,126811442
Clownfish TV,2022-01-02,249000,127525878
TheQuartering,2022-01-02,1160000,635209089
TheQuartering,2022-12-10,1400000,950095791
Nerdrotic,2022-01-02,387000,69353817
YellowFlash 2,2022-01-02,315000,170092063
TurfNation,2022-01-02,3930,592309 
TurfNation,2022-12-10,8710,1658506 
Brie Larson,2022-01-02,675000,17510271
Hack The Movies,2022-01-02,43100,6029392
ScreenCrush,2022-01-02,1030000,272712888
RetroBlasting,2022-01-02,93800,17850419
