Test,Record,Sample_Name,Measurement_Date_and_Time,Temperature,Z-Average,PdI,Derived_Count_Rate,Diffusion_Coefficient,Scattering_Angle,Size_Peak,Size_Peak,Size_Peak,pct_Pd_Peak_1,pct_Pd_Peak_2,pct_Pd_Peak_3,Attenuator
Standardizing,1,standard test 1,1/27/20 11:26,20,1857,0.104,3276.4,0.231,173,2009,0,0,21.2,0,0,7
Standardizing,2,standard test 1,1/27/20 11:33,20,2011,0.119,5680.2,0.213,173,2166,0,0,19.6,0,0,9
Standardizing,3,standard test 2,1/27/20 11:33,20,2654,0.258,24045.1,0.161,173,2712,0,0,26.8,0,0,9
Standardizing,4,standard test 1,1/27/20 11:38,20,302.5,0.245,199383.6,1.42,173,391.3,0,0,42.9,0,0,5
Standardizing,5,standard test 2,1/27/20 11:40,20,310.4,0.214,197014.5,1.38,173,393,0,0,33.2,0,0,5
Standardizing,6,standard test 3,1/27/20 11:43,20,312.5,0.26,198708.2,1.37,173,434.4,75.67,0,47.4,24.2,0,5
Standardizing,7,standard test 4,1/27/20 11:43,20,293.5,0.268,202086.4,1.46,173,313.4,5408,0,30.1,5.6,0,5
Test1,8,c1.1 1,1/27/20 11:50,20,1819,1,1557.7,0.236,173,240.6,1.852,0,7.1,8,0,10
Test1,9,c1.1 2,1/27/20 11:52,20,920.2,0.777,881.4,0.467,173,213.1,2.662,0,12.4,12.3,0,10
Test1,10,c1.1 3,1/27/20 11:54,20,1091,0.748,1102.3,0.394,173,438.4,0,0,13.6,0,0,10
Test1,11,c1.1 4,1/27/20 11:57,20,1894,1,1098.9,0.227,173,269.4,3.006,0,9.1,9.8,0,10
Test1,12,c1.1 5,1/27/20 11:59,20,887,0.735,818.7,0.484,173,409.2,3.265,0,15.8,14.4,0,10
Test2,13,c1.1 diluted 1,1/27/20 12:06,20,624,0.611,417.9,0.688,173,292.4,3.889,0,22,19.2,0,10
Test2,14,c1.1 diluted 2,1/27/20 12:08,20,1541,0.93,454,0.279,173,434.7,2.674,53.11,17.8,10.8,12.8,10
Test2,15,c1.1 diluted 3,1/27/20 12:11,20,675.8,0.684,392.8,0.635,173,262,5.116,1.267,20.6,15.8,16.1,10
Test2,16,c1.1 diluted 4,1/27/20 12:12,20,347,0.384,344.3,1.24,173,202.8,5.139,0,24.6,17,0,10
Test3,17,c2.1 1,1/27/20 12:18,20,854.3,0.804,481.8,0.503,173,3.129,188.4,0,16.6,11.2,0,10
Test3,18,c2.1 2,1/27/20 12:21,20,646,0.604,389.4,0.665,173,3.395,199.7,0.7347,20.8,13.2,14.4,10
Test3,19,c2.1 3,1/27/20 12:24,20,518.5,0.548,425.6,0.828,173,4.024,107.8,0,31.4,16.8,0,10
Test3,20,c2.1 4,1/27/20 12:27,20,493.3,0.504,460.8,0.871,173,3.864,190,0.8216,26,16.9,19.8,10
Test3,21,c2.1 5,1/27/20 12:30,20,475.3,0.479,523.4,0.904,173,3.727,191.4,0,25.4,16.6,0,10
Test4,22,c3.1 1,1/27/20 12:37,20,158.7,0.135,179458.1,2.71,173,174.8,0,0,35.4,0,0,5
Test4,23,c3.1 2,1/27/20 12:39,20,161.2,0.115,182252.4,2.66,173,179.5,0,0,34.5,0,0,5
Test4,24,c3.1 3,1/27/20 12:42,20,163.1,0.132,180370.5,2.63,173,176.9,0,0,33.3,0,0,5
Test4,25,c3.1 4,1/27/20 12:44,20,163.4,0.111,181943.3,2.63,173,182,0,0,34.1,0,0,5
Test4,26,c3.1 5,1/27/20 12:46,20,162,0.079,180394.2,2.65,173,178.9,0,0,32.7,0,0,5
Test5,27,c4.1 1,1/27/20 12:53,20,783.4,0.753,1261.7,0.548,173,206.4,2.11,0,11.2,11,0,9
Test5,28,c4.1 2,1/27/20 12:56,20,839.3,0.82,1269.2,0.512,173,215.2,2.746,0,12.1,10.6,0,9
Test5,29,c4.1 3,1/27/20 12:59,20,580,0.728,1201.1,0.74,173,231.8,3.045,0,14.9,13.8,0,9
Test5,30,c4.1 4,1/27/20 13:01,20,459.9,0.512,1221.5,0.934,173,310.1,3.025,0,18.8,16.4,0,9
Test5,31,c4.1 5,1/27/20 13:04,20,457.3,0.46,1168,0.939,173,332.3,2.993,0,19.3,18.3,0,9
Controls,32,DNA Ctrl 1,1/27/20 13:11,20,165.5,0.321,1753,2.59,173,257.5,36.56,0,44.7,25.7,0,9
Controls,33,DNA Ctrl 2,1/27/20 13:13,20,166,0.326,1800.3,2.59,173,255.7,29.87,0,42.9,25.5,0,9
Controls,34,DNA Ctrl 3,1/27/20 13:16,20,157.9,0.514,1724.1,2.72,173,315.5,53.53,0,48.7,33.4,0,9
Controls,35,HPAE Ctrl 1,1/27/20 13:21,20,101.1,0.26,458.6,4.25,173,174.3,5.758,5435,31,53.6,5.2,10
Controls,36,HPAE Ctrl 2,1/27/20 13:24,20,65.33,0.736,525.7,6.57,173,204.4,6.009,5126,31.8,55.5,10.3,10
Controls,37,HPAE Ctrl 3,1/27/20 13:25,20,84.54,0.612,591.2,5.08,173,212.3,4.24,12.54,30.7,26.8,23.5,10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,10
