Event,Name,Date,Attendees
https://www.linkedin.com/events/6720337006536253440/,Women in Data Science (WiDS) Worldwide Conference,2021-01-01,4664
https://www.linkedin.com/events/6724809278256881664/,The UofT AI Conference,2021-01-01,2624
https://www.linkedin.com/events/6728895889798164480/,MIT FinTech Conference 2021,2021-01-01,3494
https://www.linkedin.com/events/6712038867303772160/,Fintech Retreat 2021,2021-01-01,2376 
https://www.linkedin.com/events/6749204719119540225/,FinTech China Insights,2021-01-01,74 
https://www.linkedin.com/events/6739843938749882368/,FinTech 2021,2021-01-01,860
https://www.linkedin.com/events/6696379879874809856/,Startup Jobs Expo (ONLINE),2021-01-01,1136
https://www.linkedin.com/events/6735831571435266048/,Digital Week Online - Spring 2021,2021-01-01,83
https://www.linkedin.com/events/6742931251742720000/,Oil & Gas Data Science Series: Machine Learning Solution Development,2021-01-01,1303 
https://www.linkedin.com/events/6720295315490013184/,Webinar: Machine Learning Fundamentals for PMs by fmr Expedia Sr PM ,2021-01-01,645 
https://www.linkedin.com/events/6749299548868399104/,Introduction to Machine Learning Course - Global AI Hub,2021-01-01,368 
https://www.linkedin.com/events/6748621546245378048/,Machine Learning: from Training to Production ,2021-01-01,164 
https://www.linkedin.com/events/6746738410817433600/,Machine Learning Canvas: LIVE DEMO,2021-01-01,102 
https://www.linkedin.com/events/6742445343591464960/,Machine Learning for Virtual Vehicle Development (CAE & VR) ,2021-01-01,1069 
https://www.linkedin.com/events/6747515590954618880/,Machine Learning Lifecycle 2021 Conference,2021-01-01,191  
https://www.linkedin.com/events/6741686160210345984/,AI & BigData Online Day 2021,2021-01-01,103
https://www.linkedin.com/events/6649086562736893952/,Windpower Data and Digital Innovation Forum,2021-01-01,849 
https://www.linkedin.com/events/6747796995588534272/,FREE Webinar : Text Mining use cases using KNIME!,2021-01-01,283 
https://www.linkedin.com/events/6738055480477847552/,IPRIA 2021 online conference,2021-01-01,2212 
https://www.linkedin.com/events/6733483604128604160/,Machathon 2.0,2021-01-01,174
