Event,Date,Time,Attendees
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-09,2021-03-09 13:25:24,6393
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-10,2021-03-10 18:13:00,6467
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-11,2021-03-11 12:21:17,6506
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-12,2021-03-12 09:41:22,6554
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-14,2021-03-14 00:01:08,6649
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-14,2021-03-14 11:38:24,6673
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-15,2021-03-15 11:08:26,6705
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-16,2021-03-16 12:23:17,6758
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-17,2021-03-17 20:14:41,6829
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-18,2021-03-18 11:15:24,6845
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-19,2021-03-19 10:27:13,6884
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-20,2021-03-20 11:33:02,6922
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-21,2021-03-21 10:00:39,6947
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-22,2021-03-22 10:33:58,7034
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-23,2021-03-23 10:04:28,7080
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-24,2021-03-24 09:00:10,7152
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-24,2021-03-24 21:14:00,7184
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-25,2021-03-25 17:23:09,7211
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-26,2021-03-26 14:21:14,7211
"AHIMA ME 24-25 March 2021 : Register for free until 16/03*",2021-03-29,2021-03-29 02:13:06,7209
