"Event","Date","Time","Attendees"
"Data Science Training Programmes for AI Communities",2021-01-15,2021-01-15 18:04:42,10
"Data Analytics & Visualization Hands-on Workshop using MS-Excel & Power BI",2021-01-15,2021-01-15 18:04:42,82
"Microsoft 365 UK User Group January 2021",2021-01-15,2021-01-15 01:41:28,40
"(Virtual) Networking Night for Young Professionals",2021-01-05,2021-01-05 20:14:07,61
"(Virtual) Networking Night for Young Professionals",2021-01-06,2021-01-06 19:15:53,61
"(Virtual) Networking Night for Young Professionals",2021-01-09,2021-01-09 20:53:21,73
"(Virtual) Networking Night for Young Professionals",2021-01-13,2021-01-13 19:35:26,80
"[Webinar]: How Lasernet Helps Automate Processes & Transform Your Business",2021-01-08,2021-01-08 18:35:31,32
"[Webinar]: How Lasernet Helps Automate Processes & Transform Your Business",2021-01-09,2021-01-09 20:53:21,33
"[Webinar]: How Lasernet Helps Automate Processes & Transform Your Business",2021-01-13,2021-01-13 20:24:40,36
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-08,2021-01-08 18:35:31,19
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-09,2021-01-09 19:04:59,21
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-09,2021-01-09 18:26:53,21
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-10,2021-01-10 19:33:21,23
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-11,2021-01-11 23:34:21,39
"2021 ANNUAL REGIONAL LEGISLATIVE FORUM #1",2021-01-13,2021-01-13 22:03:49,48
"2021 OSHP Winter Virtual Seminar",2021-01-08,2021-01-08 18:35:31,10
"2021 OSHP Winter Virtual Seminar",2021-01-09,2021-01-09 19:04:59,10
"2021 Outlook <U+0096> What<U+0092>s Next for U.S. Power Markets",2021-01-09,2021-01-09 17:44:45,40
"2021 Outlook <U+0096> What<U+0092>s Next for U.S. Power Markets",2021-01-13,2021-01-13 18:05:42,143
"2021!! Let's Go! Marketing / Recruiting Strategies That ARE WORKING NOW",2021-01-13,2021-01-13 18:05:42,67
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-07,2021-01-07 11:05:47,14
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-07,2021-01-07 23:33:45,21
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-08,2021-01-08 15:59:32,25
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-08,2021-01-08 13:30:38,25
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-09,2021-01-09 17:44:45,26
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-10,2021-01-10 19:33:21,26
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-10,2021-01-10 11:31:34,26
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-11,2021-01-11 23:34:21,26
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-11,2021-01-11 10:02:58,26
"Achieving Excellence in Banking Innovation Free Webinar",2021-01-13,2021-01-13 22:16:39,27
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-04,2021-01-04 22:39:35,29
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-05,2021-01-05 20:14:07,29
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-06,2021-01-06 13:54:17,30
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-07,2021-01-07 23:33:45,31
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-09,2021-01-09 17:44:45,31
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-10,2021-01-10 19:33:21,31
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-10,2021-01-10 12:55:39,31
"Adopting Analytics Best Practices in Manufacturing Industry",2021-01-11,2021-01-11 23:34:21,31
"Artificial Intelligence and the Natural World",2021-01-05,2021-01-05 15:37:25,16
"Artificial Intelligence and the Natural World",2021-01-06,2021-01-06 09:50:53,16
"Artificial Intelligence and the Natural World",2021-01-13,2021-01-13 12:56:23,16
