Date,Joins
2020-12-25,110
2020-12-26,124
2020-12-27,134
2020-12-28,137
2020-12-29,145
2020-12-30,152
2020-12-31,156
2021-01-01,165
2021-01-02,171
2021-01-03,223
2021-01-04,248
2021-01-05,332
2021-01-06,406
2021-01-07,446
2021-01-08,487
2021-01-09,502
2021-01-10,519
2021-01-11,535
2021-01-12,603
2021-01-13,683
2021-01-14,735
2021-01-15,1020
2021-01-16,1193
2021-01-17,1265
2021-01-18,1366
2021-01-19,1662
2021-01-20,1964
2021-01-21,2102
2021-01-22,2342
2021-01-23,2519
2021-01-24,2630
2021-01-25,2712
2021-01-26,3036
2021-01-27,3364
2021-01-28,3586
2021-01-29,3792
2021-01-30,3994
2021-01-31,4115
2021-02-01,4225
2021-02-02,4637
2021-02-03,4926
2021-02-04,5113
2021-02-05,5352
2021-02-06,5576
2021-02-07,5688
2021-02-08,5816
2021-02-09,6254
2021-02-10,6487
2021-02-11,6652
2021-02-12,6908
2021-02-13,7180
2021-02-14,7318
2021-02-15,7449
2021-02-16,7797
2021-02-17,8177
2021-02-18,8389
2021-02-19,8577
2021-02-20,8851
2021-02-21,8995
2021-02-22,9099
2021-02-23,9299
2021-02-24,9568
2021-02-25,9719
2021-02-26,9863
2021-02-27,10179
2021-02-28,10353
2021-03-03,10962
2021-03-04,11134
