Meetup,Locality,Region
Warszawskie Forum Julia, Warsaw, Poland
Dublin Julia Users Group, Dublin, Ireland
Julia (Julialang) Sydney, Sydney, Australia
PyData Belagavi, Belgaum, India
PyData Guatemala, Guatemala, Guatemala
Prague Julia programming group, Prague, Czech Republic
Julia User Group Munich, München, Germany
PyData Bratislava, Bratislava, Slovakia
Julia Data Science Lima, Lima, Peru
Zurich Julia Users Group, Zürich, Switzerland
Midwest Julia Users, Chicago, IL
Julia Meetup São Paulo, São Paulo, Brazil
Budapest Julia User Group, Budapest, Hungary
Barcelona Julia Meetup, Barcelona, Spain
BeNeLux Julia User Group, Luxembourg, Luxembourg
SE-Michigan Julia Language Meetup, Livonia, MI
Washington D.C. Greater Metro Area Julia Language Group, Arlington, VA
Bucharest Julia Users Group, Bucharest, Romania
Julia5280 (a Julia Programming Language Meetup), Boulder, CO
Twin Cities Julia User Group, Minneapolis, MN
Programming in Julia, Vancouver, BC
Pleasanton Julia - Programming The Language, Pleasanton, CA
Pleasanton Deep Learning Study Group, Pleasanton, CA
JuliaLang Taipei, Taipei, Taiwan
Korea Julia User Group, Seoul, Korea (South)
Stuttgart Julia Programming Language Meetup, Stuttgart, Germany
Julia Users Group Slovakia, Bratislava, Slovakia
Julia Lang Enthusiasts at Winter Park, Winter Park, FL
