"Company","Date","Posts","Followers"
"AI Inclusive",2020-12-06,69,1175
"AI Inclusive",2020-12-13,72,1226
"AI Inclusive",2020-12-18,73,1305
"Anaconda",2020-11-25,162,1688
Julia Language,2021-01-11,56,588
NumFOCUS,2021-01-11,1,119
RStudio PBC,2021-01-11,66,4494
AI Inclusive,2021-01-11,76,1332
"Nordic.AI",2022-02-01,532
"DataSoc",2022-02-01,779
"Integra Data and Analytic Solutions",2022-02-01,1629
"Data Science Dojo",2022-02-01,161630
"Nottingham Economics & Finance Society",2022-02-01,2559
"Data Axle",2022-02-01,65461
"Data Science Society at Berkeley",2022-02-01,753
"Machine Learning & Data Science Meetup Roma",2022-02-01,175
"Hackster.io",2022-02-01,26301
"The Michael J. Fox Foundation for Parkinson's Research",2022-02-01,16566
"Otago Computer Science Society",2022-02-01,20
"Irish Student Consulting Group (ISCG)",2022-02-01,3169
"Bamboo Health",2022-02-01,2879
"Bernard van Leer Foundation",2022-02-01,9354
"Sydney Machine Learning Group",2022-02-01,162
"LSESU Data Science Society",2022-02-01,6
"TazWorks LLC",2022-02-01,756
"Exeter Artificial Intelligence and Data Science Society (X-AI)",2022-02-01,42
"UCD Investors and Entrepreneurs Society",2022-02-01,1940
"Katalyst Data Management",2022-02-01,3709
"Data Science Dojo",2022-02-01,161630
"Nottingham Economics & Finance Society",2022-02-01,2559
"Data Axle",2022-02-01,65461
"Data Science Society at Berkeley",2022-02-01,753
"Machine Learning & Data Science Meetup Roma",2022-02-01,175
"Hackster.io",2022-02-01,26301
"The Michael J. Fox Foundation for Parkinson's Research",2022-02-01,16566
"Otago Computer Science Society",2022-02-01,20
"Irish Student Consulting Group (ISCG)",2022-02-01,3169
"Bamboo Health",2022-02-01,2879
"Bernard van Leer Foundation",2022-02-01,9354
"Sydney Machine Learning Group",2022-02-01,162
"LSESU Data Science Society",2022-02-01,6
"TazWorks LLC",2022-02-01,756
"Exeter Artificial Intelligence and Data Science Society (X-AI)",2022-02-01,42
"UCD Investors and Entrepreneurs Society",2022-02-01,1940
"Katalyst Data Management",2022-02-01,3709
"Neptune Energy",2022-02-01,56385
"University Of Sheffield Computer Science Society",2022-02-01,40
"The Machine Learning Institute Certificate in Finance (MLI)",2022-02-01,796
"Data Science Club of UWA",2022-02-01,394
"Data Science Academy",2022-02-01,291856
"Data Science Research Arab Team",2022-02-01,133
"SeismicZone",2022-02-01,419
"Centre for Sustainable Fashion",2022-02-01,61441
"The Data Pub",2022-02-01,1657
"LSESU Machine Learning Society",2022-02-01,93
"Data Science Milan",2022-02-01,854
"Publicjobs.ie",2022-02-01,100144
"MIT Technology Review",2022-02-01,1088231
"Oak Foundation",2022-02-01,10904
"MLT",2022-02-01,8316
"Gulf Business Solutions (GBS)",2022-02-01,820
"Machine Learning Mastery",2022-02-01,208080
"meetup.ai",2022-02-01,391
"SwissAI",2022-02-01,357
"Toronto Machine Learning Meetup",2022-02-01,186
"Dalhousie Computer Science Society",2022-02-01,68
"HEDS Data Science",2022-02-01,503
"CONNECT Centre",2022-02-01,3228
"CONNECT Centre",2022-02-01,3228
"DecisionBrain",2022-02-01,1614
"MAVA Foundation",2022-02-01,3567
"OpenAI",2022-02-01,131921
"City Data Science Society",2022-02-01,98
"Big Data and Artificial Intelligence Club",2022-02-01,191
"Machine Learning Society at MIM UW",2022-02-01,138
"Machine Learning Porto Alegre",2022-02-01,478
"Artificial Intelligence in Medicine Student Society (AIMSS)",2022-02-01,271
"Foundation for Economic Education",2022-02-01,10179
"Hong Kong Machine Learning",2022-02-01,2670
"Data Science Student Society at UJ",2022-02-01,79
"PHILANTHROPY ADVISORS",2022-02-01,3610
"Cologne AI and Machine Learning Meetup",2022-02-01,193
"Data Science Society",2022-02-01,163
"Sheffield Women in Computer Science Society",2022-02-01,52
"Meetup Machine Learning Québec",2022-02-01,64
"PyData Global",2022-02-01,1689
"Monash Data Science Society",2022-02-01,388
"DOF Subsea",2022-02-01,153459
"McMaster Computer Science Society",2022-02-01,108
"MicroMap IT & GIS Consultancy Abu Dhabi",2022-02-01,937
"Data Lille",2022-02-01,776
"Toronto Machine Learning Society (TMLS)",2022-02-01,7569
"University College Dublin",2022-02-01,242422
"Data Science Club at UTDallas",2022-02-01,1382
"AWS Machine Learning",2022-02-01,82105
"Computer Science Society (CSS) - University of Birmingham",2022-02-01,189
"Hugging Face",2022-02-01,52132
"Thalesians Ltd",2022-02-01,4132
"Fujitsu",2022-02-01,536538
"Artificial Intelligence Hong Kong",2022-02-01,2049
"Appriss",2022-02-01,6151
"Bayanat for Mapping & Surveying Services LLC",2022-02-01,15813
"Data Science Meetup",2022-02-01,116
"Finance Society at the University of Connecticut",2022-02-01,259
"LSESU Data Science Society",2022-02-01,219
"Open Data Science Conference (ODSC)",2022-02-01,120827
"gistec",2022-02-01,9283
"AI Copenhagen",2022-02-01,298
"DataCamp",2022-02-01,288322
"University of Limerick",2022-02-01,96051
"Columbia Data Science Society",2022-02-01,630
"Prospect 33",2022-02-01,20876
"Dubai Technologies",2022-02-01,5593
"NVIDIA AI",2022-02-01,320054
"Dubai Technology Entrepreneur Campus - Dtec",2022-02-01,5881
"Amherst H. Wilder Foundation",2022-02-01,5729
"storytelling with data",2022-02-01,72961
"Buffalo State Data Science & Analytics (DSA)",2022-02-01,407
"PHILANTHROPY ADVISORS",2022-02-01,3610
"Cologne AI and Machine Learning Meetup",2022-02-01,193
"Data Science Society",2022-02-01,163
"Sheffield Women in Computer Science Society",2022-02-01,52
"Meetup Machine Learning Québec",2022-02-01,64
"PyData Global",2022-02-01,1689
"Monash Data Science Society",2022-02-01,388
"DOF Subsea",2022-02-01,153459
"Bristol Data Science Society",2022-02-01,145
"Lumina Foundation",2022-02-01,17274
"Erlangen Artificial Intelligence & Machine Learning Meetup",2022-02-01,434
"SAIS Sheffield Artificial Intelligence Society",2022-02-01,36
"vGIS",2022-02-01,11784
"Fujitsu",2022-02-01,536538
"Artificial Intelligence Hong Kong",2022-02-01,2049
"Appriss",2022-02-01,6151
"Bayanat for Mapping & Surveying Services LLC",2022-02-01,15813
"Data Science Meetup",2022-02-01,116
"Finance Society at the University of Connecticut",2022-02-01,259
"LSESU Data Science Society",2022-02-01,219
"Open Data Science Conference (ODSC)",2022-02-01,120827
"gistec",2022-02-01,9283
"AI Copenhagen",2022-02-01,298
"useR! - The R User Conference",2022-02-01,1251
"Data Science Society",2022-02-01,1397
"Oceaneering",2022-02-01,310092
"Data Science Club of UWA",2022-02-01,394
"Data Science Academy",2022-02-01,291856
"Data Science Research Arab Team",2022-02-01,133
"SeismicZone",2022-02-01,419
"Dubai Technology Entrepreneur Campus - Dtec",2022-02-01,5881
"Amherst H. Wilder Foundation",2022-02-01,5729
"storytelling with data",2022-02-01,72961
"Buffalo State Data Science & Analytics (DSA)",2022-02-01,407
"Oceaneering",2022-02-01,310092
"Data Science Club of UWA",2022-02-01,394
"Data Science Academy",2022-02-01,291856
"Data Science Research Arab Team",2022-02-01,133
"SeismicZone",2022-02-01,419
