"","DF","lon","lat"
"1","Ennis,Clare,Ireland",NA,NA
"2","Athlone,Westmeath,Ireland",-7.9406898,53.4239331
"3","Kilkee,Clare,Ireland",NA,NA
"4"," Mullingar, Westmeath,Ireland",-7.3381378,53.5259334
"5","Navan, Meath, Ireland",NA,NA
"6","Gort, Galway, Ireland",-8.8187485,53.0666432
"7","Shannon Airport,County Clare,Ireland",-8.9146911,52.6996573
"8","Moate,Westmeath,Ireland",NA,NA
"9","Doolin,County Clare,Ireland",-9.3774199,53.0160289
"10","Castlepollard, Westmeath,Ireland",-7.2964508,53.6800722
"11","Navan, Meath, Ireland",NA,NA
"12","Galway, Galway, Ireland",-9.0567905,53.270668
"13","Dromoland,County Clare,Ireland",-8.9056364,52.7830484
"14","Moate,Westmeath,Ireland",-7.7186188,53.3949987
"15","Kilkee,County Clare,Ireland",NA,NA
"16","Athboy, Meath,Ireland",-6.915637,53.6236329
"17","Trim, Meath, Ireland",-6.7866474,53.5523666
"18","Sligo, County Sligo, Ireland",-8.4760888,54.2766103
"19","Clonakilty, County Cork, Ireland",-8.9055104,51.6203379
"20","Birr, County Offaly, Ireland",-7.9096882,53.0980052
"21","Tullamore,County Offally, Ireland",-7.4933852,53.2755255
"22","Rush, County Dublin, Ireland",-6.0911586,53.5256684
"23","Drogheda, County Louth, Ireland",-6.3560985,53.717856
"24","Dundalk, County Louth, Ireland",-6.405957,53.9979451
"25","Clifden, County Galway, Ireland",NA,NA
"26","Enniscrone, County Sligo, Ireland",NA,NA
"27","Schull, County Cork, Ireland",-9.5479801,51.526867
"28","Rhode, County Offaly, Ireland",-7.1989629,53.3499888
"29","Edenderry, County Offally, Ireland",-7.0505832,53.3432843
"30","Chapelizod, County Dublin, Ireland",-6.3462465,53.34784
"31","Longford, County Longford, Ireland",-7.7932573,53.7276296
"32","Granard, County Longford, Ireland",NA,NA
"33","Tuam, County Galway, Ireland",-8.8565177,53.5141156
"34","Lifford, County Donegal, Ireland",NA,NA
"35","Abbeyfeale,County Limerick, Ireland",-9.2970823,52.3861811
"36","Waterford,County Waterford, Ireland",NA,NA
"37","Abbeyside, Waterford, Ireland",-7.6168652,52.0931797
"38","Abbeydorney, Kerry, Ireland",-9.6879095,52.346618
"39","Abbeyfeale, Limerick, Ireland",-9.2970823,52.3861811
"40","Abbeyleix, Laois, Ireland",-7.3478923,52.9152801
"41","Achill Sound, Mayo, Ireland",NA,NA
"42","Adamstown, Wexford, Ireland",-6.7185567,52.3935687
"43","Adare, Limerick, Ireland",-8.7925892,52.5636339
"44","Aghada-Farsid-Rostellan, Cork, Ireland",-8.19901,51.8435
"45","Aglish, Waterford, Ireland",-7.8222696,52.0715072
"46","Ahascragh, Galway, Ireland",-8.3346318,53.3976127
"47","Allenwood, Kildare, Ireland",-6.8618406,53.2839545
"48","Annacotty, Limerick, Ireland",-8.5376764,52.6680427
"49","Annagry, Donegal, Ireland",NA,NA
"50","Annascaul, Kerry, Ireland",-10.0567611,52.1510786
"51","Ardagh, Limerick, Ireland",-9.0637201,52.4941233
"52","Ardara, Donegal, Ireland",-8.4092864,54.7671456
"53","Ardee, Louth, Ireland",-6.5400009,53.8576227
"54","Ardfert, Kerry, Ireland",NA,NA
"55","Ardfinnan, Tipperary South, Ireland",-7.8842292,52.3092483
"56","Ardmore, Waterford, Ireland",-7.725329,51.9510741
"57","Ardnacrusha (Castlebank), Clare, Ireland",-8.6170408,52.70777
"58","Ardskeagh, Clare, Ireland",NA,NA
"59","Arklow Town, Wicklow, Ireland",-6.1599293,52.7976935
"60","Arvagh, Cavan, Ireland",-7.5799134,53.9214383
"61","Ashbourne, Meath, Ireland",-6.3973818,53.5111621
"62","Ashford, Wicklow, Ireland",-6.108289,53.0107896
"63","Askeaton, Limerick, Ireland",-8.9717511,52.6006587
"64","Athboy, Meath, Ireland",-6.915637,53.6236329
"65","Athea, Limerick, Ireland",-9.289613,52.4609895
"66","Athenry, Galway, Ireland",-8.7453768,53.3008131
"67","Athlone Town, Westmeath, Ireland",-7.9406898,53.4239331
"68","Athy Town, Kildare, Ireland",-6.9857281,52.9918336
"69","Aughrim, Wicklow, Ireland",NA,NA
"70","Avoca, Wicklow, Ireland",-6.2140891,52.8586664
"71","B[edit], Ireland",NA,NA
"72","Bailieborough, Cavan, Ireland",-6.9692942,53.9156096
"73","Balbriggan, Fingal, Dublin, Ireland",-6.1820798,53.6083194
"74","Balla, Mayo, Ireland",-9.1305015,53.8043767
"75","Ballaghaderreen, Roscommon, Ireland",-8.5792106,53.9016968
"76","Ballina, Mayo, Ireland",-9.1550693,54.1149482
"77","Ballina, Tipperary, Ireland",-8.4309179,52.8070154
"78","Ballinagh, Cavan, Ireland",-7.41044,53.9302
"79","Ballinakill, Laois, Ireland",-7.3085753,52.8750077
"80","Ballinamore, Leitrim, Ireland",-7.8032043,54.0522181
"81","Ballinasloe Town, Galway, Ireland",-8.2269467,53.3287621
"82","Ballincar, Sligo, Ireland",-8.5022036,54.2970322
"83","Ballindine, Mayo, Ireland",-8.9567295,53.6692569
"84","Ballineen and Enniskean, Cork, Ireland",NA,NA
"85","Ballingarry, Limerick, Ireland",NA,NA
"86","Ballingarry, Tipperary South, Ireland",-7.547113,52.5876621
"87","Ballingeary, Cork, Ireland",-9.2326402,51.8507469
"88","Ballinlough, Roscommon, Ireland",-8.6335579,53.7418858
"89","Ballinroad, Waterford, Ireland",-7.5734156,52.1037518
"90","Ballinrobe, Mayo, Ireland",NA,NA
"91","Ballintra, Donegal, Ireland",-8.1243234,54.5788499
"92","Ballisodare, Sligo, Ireland",-8.5090366,54.2121162
"93","Ballitore, Kildare, Ireland",NA,NA
"94","Ballivor, Meath, Ireland",-6.9680717,53.5329521
"95","Ballon, Carlow, Ireland",NA,NA
"96","Ballyagran, Limerick, Ireland",NA,NA
"97","Ballybay, Monaghan, Ireland",-6.9027864,54.1294617
"98","Ballybay Environs, Monaghan, Ireland",NA,NA
"99","Ballybofey-Stranorlar, Donegal, Ireland",-7.7875481,54.7968244
"100","Ballyboghil, Fingal, Ireland",-6.2675954,53.520206
"101","Ballybunion, Kerry, Ireland",-9.67097,52.51108
"102","Ballycanew, Wexford, Ireland",-6.3049672,52.6106782
"103","Ballycannan, Clare, Ireland",-8.6448995,52.7081255
"104","Ballycastle, Mayo, Ireland",-9.3724643,54.2796698
"105","Ballyclerahan, Tipperary South, Ireland",NA,NA
"106","Ballyclogh, Cork, Ireland",NA,NA
"107","Ballyconnell, Cavan, Ireland",NA,NA
"108","Ballycotton, Cork, Ireland",-8.0097621,51.8299148
"109","Ballycullane, Wexford, Ireland",NA,NA
"110","Ballycumber, Offaly, Ireland",-7.6861137,53.3264159
"111","Ballydehob, Cork, Ireland",-9.4553674,51.5630082
"112","Ballydesmond, Cork, Ireland",-9.2341524,52.1796564
"113","Ballyduff, Kerry, Ireland",NA,NA
"114","Ballyfarnon, Roscommon, Ireland",-8.2047173,54.0723661
"115","Ballygar, Galway, Ireland",-8.3257391,53.5225627
"116","Ballygeary (or Rosslare Harbour), Wexford, Ireland",-6.3414908,52.2513061
"117","Ballyhack, Wexford, Ireland",-6.964192,52.2484749
"118","Ballyhaise, Cavan, Ireland",-7.3155094,54.0473393
"119","Ballyhaunis, Mayo, Ireland",-8.7645957,53.7628378
"120","Ballyheigue, Kerry, Ireland",-9.8277419,52.3904645
"121","Ballyhooly, Cork, Ireland",-8.3980968,52.1452748
"122","Ballyjamesduff, Cavan, Ireland",-7.2064562,53.8638736
"123","Ballylanders, Limerick, Ireland",NA,NA
"124","Ballyliffin, Donegal, Ireland",-7.3942123,55.2784391
