"DF","lon","lat"
"Ennis,Clare,Ireland",NA,NA
"Athlone,Westmeath,Ireland",-7.9406898,53.4239331
"Kilkee,Clare,Ireland",NA,NA
" Mullingar, Westmeath,Ireland",-7.3381378,53.5259334
"Navan, Meath, Ireland",NA,NA
"Gort, Galway, Ireland",-8.8187485,53.0666432
"Shannon Airport,County Clare,Ireland",-8.9146911,52.6996573
"Moate,Westmeath,Ireland",NA,NA
"Doolin,County Clare,Ireland",-9.3774199,53.0160289
"Castlepollard, Westmeath,Ireland",-7.2964508,53.6800722
"Navan, Meath, Ireland",NA,NA
"Galway, Galway, Ireland",-9.0567905,53.270668
"Dromoland,County Clare,Ireland",-8.9056364,52.7830484
"Moate,Westmeath,Ireland",-7.7186188,53.3949987
"Kilkee,County Clare,Ireland",NA,NA
"Athboy, Meath,Ireland",-6.915637,53.6236329
"Trim, Meath, Ireland",-6.7866474,53.5523666
"Sligo, County Sligo, Ireland",-8.4760888,54.2766103
"Clonakilty, County Cork, Ireland",-8.9055104,51.6203379
"Birr, County Offaly, Ireland",-7.9096882,53.0980052
"Tullamore,County Offally, Ireland",-7.4933852,53.2755255
"Rush, County Dublin, Ireland",-6.0911586,53.5256684
"Drogheda, County Louth, Ireland",-6.3560985,53.717856
"Dundalk, County Louth, Ireland",-6.405957,53.9979451
"Clifden, County Galway, Ireland",NA,NA
"Enniscrone, County Sligo, Ireland",NA,NA
"Schull, County Cork, Ireland",-9.5479801,51.526867
"Rhode, County Offaly, Ireland",-7.1989629,53.3499888
"Edenderry, County Offally, Ireland",-7.0505832,53.3432843
"Chapelizod, County Dublin, Ireland",-6.3462465,53.34784
"Longford, County Longford, Ireland",-7.7932573,53.7276296
"Granard, County Longford, Ireland",NA,NA
"Tuam, County Galway, Ireland",-8.8565177,53.5141156
"Lifford, County Donegal, Ireland",NA,NA
"Abbeyfeale,County Limerick, Ireland",-9.2970823,52.3861811
"Waterford,County Waterford, Ireland",NA,NA
