"Company","Date","Followers"
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-16,10003
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-20,10034
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-23,10060
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-26,10089
"Asystec Limited",2022-04-19,2475
"InsideAIML",2022-04-19,9107
"The Julia Language",2022-04-19,10144
"UCL Data Science Society",2022-04-19,1192
"Software Insights Ireland",2022-04-19,1279
"Dataiku",2022-04-19,101547
"SDGs",2022-04-19,2019
"The unbelievable Machine Company GmbH",2022-04-19,2241
"Python Ireland",2022-04-19,1018
"Machine Learning India",2022-04-19,153314
"GitLab",2022-04-19,627019
"Black Girls CODE",2022-04-19,30911
"DataSoc",2022-04-19,815
"Tunis R User Group",2022-04-19,565
"Data Science Dojo",2022-04-19,182767
"African Drone & Data Academy Powered By UNICEF",2022-04-19,1194
"Business Science",2022-04-19,13407
"Outlier",2022-04-19,95
"Appsilon",2022-04-19,2799
"Derilinx",2022-04-19,730
"OpenStreetMap Ireland",2022-04-19,246
"VERDE",2022-04-19,172
"Open Data Institute",2022-04-19,11864
"Tiger Analytics",2022-04-19,125201
"Mango Solutions",2022-04-19,3783
"Data Ireland",2022-04-19,802
"Obama Foundation",2022-04-19,116333
"dotConferences",2022-04-19,208
"Amazon Science",2022-04-19,227530
"Walton Family Foundation",2022-04-19,43938
"Ishango.ai",2022-04-19,528
"Alfred P. Sloan Foundation",2022-04-19,2239
"Coillte",2022-04-19,13695
"Women in Technology (WIT)",2022-04-19,191014
"Globant",2022-04-19,529041
"Rose Data Studio LLC",2022-04-19,236
"PyData Berlin",2022-04-19,537
"Decision Inc.",2022-04-19,29559
"Omdena",2022-04-19,22901
"GlobalLogic",2022-04-19,515896
"Plotly",2022-04-19,13552
"Defence Forces of Ireland",2022-04-19,4238
"NVIDIA AI",2022-04-19,340529
"Sololearn",2022-04-19,100762
"The R Foundation for Statistical Computing",2022-04-19,2977
"AI Inclusive",2022-04-19,3259
"Datahug (acquired by CallidusCloud)",2022-04-19,3109
"Bhutan Data Scientists Pvt Ltd",2022-04-19,74
"ClusterAI",2022-04-19,449
"ADAPT Centre",2022-04-19,2769
"DataDotOrg",2022-04-19,2770
"STATSports",2022-04-19,22368
"GitHub",2022-04-19,2471200
"Dataquest.io",2022-04-19,39785
"Netcelero",2022-04-19,665
"Women in Data®",2022-04-19,18815
"Jump Trading LLC",2022-04-19,38522
"Anaconda Inc.",2022-04-19,31069
"The Rockefeller Foundation",2022-04-19,156509
"UNDP Guinea-Bissau ",2022-04-19,2384
"Roche",2022-04-19,2580865
"CivicDataLab",2022-04-19,3118
"NumFOCUS",2022-04-19,2620
"KNIME",2022-04-19,29493
"DATANAYA",2022-04-19,1379
"The Global Academy",2022-04-19,273
"Ursa Labs",2022-04-19,445
"BCG Digital Ventures",2022-04-19,134503
"ThinkR (FR)",2022-04-19,585
"Mellon Foundation",2022-04-19,17788
"Cognizant",2022-04-19,4876348
"Tableau",2022-04-19,733317
"Jane Street",2022-04-19,84506
"Quansight Initiate",2022-04-19,101
"NCX",2022-04-19,4647
"PyData Ireland",2022-04-19,10
"Senseforth.ai",2022-04-19,23840
"Office for National Statistics",2022-04-19,49314
"The David and Lucile Packard Foundation",2022-04-19,19598
"UNICEF Office of Research - Innocenti",2022-04-19,44729
"Machine Learning Prague conference",2022-04-19,220
"Alldus",2022-04-19,32541
"Coding Black Females",2022-04-19,7427
"Doris Duke Charitable Foundation",2022-04-19,3321
"FutureLearn",2022-04-19,112053
"IBM Data and AI",2022-04-19,213153
"KatRisk LLC",2022-04-19,1466
"The Kresge Foundation",2022-04-19,30427
"PyData Global",2022-04-19,2069
"Tata Consultancy Services",2022-04-19,9218195
"Conning",2022-04-19,12313
"Government of Ireland",2022-04-19,32552
"Informatica",2022-04-19,218435
"Data2X United Nations Foundation",2022-04-19,2862
"Data for Good",2022-04-19,8053
"ProCogia",2022-04-19,6371
"Data For Good",2022-04-19,6567
"PyData Delhi",2022-04-19,1629
"Tableau Events and Webinars",2022-04-19,34097
"The Analytics Institute of Ireland",2022-04-19,5594
"W.K. Kellogg Foundation",2022-04-19,43212
"Open Data Science Conference (ODSC)",2022-04-19,123633
"Accenture Technology",2022-04-19,292649
"Boston Consulting Group (BCG)",2022-04-19,3131756
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-19,10615
"DataIQ",2022-04-19,11435
"UK Statistics Authority ",2022-04-19,1555
"Robert Wood Johnson Foundation",2022-04-19,56783
"Falkonry",2022-04-19,3547
"Data for Good Foundation",2022-04-19,1631
"PyCaret",2022-04-19,11612
"Data Science Council of America",2022-04-19,53021
"Remsoft",2022-04-19,2884
"Towards AI",2022-04-19,205384
"Conrad N. Hilton Foundation",2022-04-19,10690
"R-Ladies Miami",2022-04-19,201
"RegioData Research GmbH",2022-04-19,189
"365 Data Science",2022-04-19,95396
"Sustainable Development Solutions Network",2022-04-19,41535
"DeepVidhya",2022-04-19,414
"McKinsey & Company",2022-04-19,4462574
"getINNOtized GmbH",2022-04-19,4172
"Datalitics",2022-04-19,150
"Fathom Data",2022-04-19,352
"Tag Ng",2022-04-19,271
"Canvas Intelligence",2022-04-19,11387
"Databricks",2022-04-19,315110
"r-programming.org",2022-04-19,2338
"Fivetran",2022-04-19,44588
"ORRECO",2022-04-19,2364
"Olatunde Data Analytics",2022-04-19,661
"Lucid",2022-04-19,50120
"Twenty Billion Neurons",2022-04-19,3249
"Economic and Social Research Institute (ESRI)",2022-04-19,10206
"Data Scientists Ltd",2022-04-19,22
"Qatar Computing Research Institute",2022-04-19,10005
"Packt",2022-04-19,52075
"Rust Programming Language",2022-04-19,4284
"EcoAngola",2022-04-19,15595
"East Africa Research &Data Analysis",2022-04-19,12
"Maolte",2022-04-19,70
"storytelling with data",2022-04-19,82657
"Thimphu TechPark",2022-04-19,169
"DataCamp",2022-04-19,299841
"Women Who Code",2022-04-19,104687
"Roche",2022-04-19,2580866
"Data Science Central",2022-04-19,257018
"RStudio PBC",2022-04-19,80296
"General Assembly",2022-04-19,168413
"ViennaR",2022-04-19,390
"ADF Haiti",2022-04-19,379
"Weights & Biases",2022-04-19,13958
"Radiant MLHub",2022-04-19,1321
"IUCN",2022-04-19,103948
"Gower Street Analytics",2022-04-19,1788
"Global Partnership for Sustainable Development Data",2022-04-19,3719
"MacArthur Foundation",2022-04-19,75987
"African Institute for Mathematical Sciences (AIMS)",2022-04-19,12039
"Newgen Software",2022-04-19,106954
"Pacific Whale Foundation",2022-04-19,1749
"QuantStack",2022-04-19,864
"GORODATA",2022-04-19,1608
"AWS Databases & Analytics",2022-04-19,195162
"Genpact",2022-04-19,1722310
"Google Summer of Code",2022-04-19,34010
"DSN - Data Scientists Network/Data Science Nigeria",2022-04-19,6545
"Udemy",2022-04-19,894290
"Rockefeller Philanthropy Advisors",2022-04-19,25434
"MachineX Intelligence",2022-04-19,1701
"Kaggle",2022-04-19,326323
"Coursera",2022-04-19,1225009
"Susquehanna International Group LLP (SIG)",2022-04-19,91091
"R-Ladies Tunis",2022-04-19,720
"Quansight",2022-04-19,1406
"Ixio Analytics",2022-04-19,747
"Collibra",2022-04-19,43201
"Data Science Foundation International",2022-04-19,2545
"Datalytics",2022-04-19,14632
"Ayiti Analytics",2022-04-19,985
"PyLadies Dublin",2022-04-19,167
"G-Research",2022-04-19,25901
"SCALEWORK",2022-04-19,935
"DataKind",2022-04-19,15064
"ArkeUp Academy | Océan Indien",2022-04-19,1164
"Catalyst Seychelles",2022-04-19,209
"Skoll Foundation",2022-04-19,31915
"X-Europe Data Science",2022-04-19,78
"Invenia Labs",2022-04-19,2086
"i2 Inc.",2022-04-19,985
"Pluralsight",2022-04-19,144966
"Ultimate",2022-04-19,5467
"Government Statistical Service",2022-04-19,5974
"Lander Analytics",2022-04-19,364
"DataRobot",2022-04-19,106305
"Irish Defence Forces",2022-04-19,11161
"Black in Data",2022-04-19,1257
"Zindi",2022-04-19,9243
"Tiger Analytics",2022-04-19,125202
"Irish Air Corps",2022-04-19,1401
"Microsoft Power BI by Solution Systems",2022-04-19,56418
"Open Cadastre",2022-04-19,14
"BlackTIDES",2022-04-19,577
"Why R?",2022-04-19,3467
"Ford Foundation",2022-04-19,122673
"Squarepoint Capital",2022-04-19,11549
"UCD Netsoc – UCD's Internet and Computer Science Society",2022-04-19,306
"SuperDataScience",2022-04-19,77931
"Project Jupyter",2022-04-19,8875
"United Nations Foundation",2022-04-19,124296
"Alteryx",2022-04-19,192192
"Institute of Mathematics and its Applications",2022-04-19,21109
"Cpl",2022-04-19,227450
"Knoldus Inc",2022-04-19,11349
"Stack Overflow",2022-04-19,908324
"Python Software Foundation",2022-04-19,101662
"Boxfish",2022-04-19,447
"Idiro Analytics",2022-04-19,4630
"Two Sigma",2022-04-19,113044
"H2O.ai",2022-04-19,108449
"R Users Group - Ecuador",2022-04-19,238
"Benin ThinkLab",2022-04-19,69
"Irish Centre for High-End Computing ICHEC",2022-04-19,1122
"SDG Academy",2022-04-19,18208
"Bill & Melinda Gates Foundation",2022-04-19,1001069
"Data Science for Social Good Foundation",2022-04-19,3049
"OpenTeams",2022-04-19,1783
"Towards Data Science",2022-04-19,471439
"FreeLocalMappers",2022-04-19,845
"Kitman Labs",2022-04-19,8188
"Ginkgo Management Consulting",2022-04-19,2344
"Numeric Mind",2022-04-19,441
"RapidMiner",2022-04-19,18236
"Data Science by Data Scientist Canada",2022-04-19,16840
"DataKind UK",2022-04-19,2413
"Qualtrics",2022-04-19,186451
"The Alan Turing Institute",2022-04-19,22472
"Aon Centre for Innovation and Analytics (ACIA)",2022-04-19,13619
"Sentient Projects",2022-04-19,663
"SAS",2022-04-19,772591
"KIPP Foundation",2022-04-19,47676
"DeepLearning.AI",2022-04-19,471999
"Bissau Analytics ",2022-04-19,37
"Women in Machine Learning and Data Science MAURITIUS",2022-04-19,90
"NIMBADATA",2022-04-19,4
"Data & Society Research Institute",2022-04-19,5870
"Xava",2022-04-19,56
"LSBU Business School ",2022-04-19,1913
"Statistics Globe",2022-04-19,3315
"WorldQuant",2022-04-19,46592
"R-Ladies Saudi Arabia (Dammam)",2022-04-19,251
"allspatial - Geospatial Software and Services",2022-04-19,13
"Global Fishing Watch",2022-04-19,3700
"Global Shapers Community - Thimphu Hub",2022-04-19,271
"Data Visualization Society",2022-04-19,97910
"R Consortium",2022-04-19,2319
"RSS Data Science and AI Section",2022-04-19,1451
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-03,10128
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-07,10163
