"X1","X2","X3"
"Dragon Coders Private Limited",2022-05-27,154
"Business Science",2022-05-27,13581
"African Drone & Data Academy Powered By UNICEF",2022-05-27,1269
"Outlier",2022-05-27,94
"Black Girls CODE",2022-05-27,32602
"Derilinx",2022-05-27,767
"Appsilon",2022-05-27,3115
"Ascential",2022-05-27,48702
"Tunis R User Group",2022-05-27,580
"Data Science Dojo",2022-05-27,192000
"DataSoc",2022-05-27,816
"Women in AI Ireland",2022-05-27,2955
"Domino Data Lab",2022-05-27,27798
"Omdena",2022-05-27,23917
"Gordon and Betty Moore Foundation",2022-05-27,7976
"Obama Foundation",2022-05-27,123585
"PyData Berlin",2022-05-27,558
"Decision Inc.",2022-05-27,30038
"Amazon Science",2022-05-27,237898
"dotConferences",2022-05-27,206
"EcoAngola",2022-05-27,16931
"Women Who Code",2022-05-27,108544
"Defence Forces of Ireland",2022-05-27,4274
"Maolte",2022-05-27,85
"East Africa Research &Data Analysis",2022-05-27,14
"Quovantis Technologies",2022-05-27,13904
"The R Foundation for Statistical Computing",2022-05-27,3565
"AI Inclusive",2022-05-27,3325
"STATSports",2022-05-27,23112
"Datahug (acquired by CallidusCloud)",2022-05-27,3108
"Women in Data®",2022-05-27,20211
"Sololearn",2022-05-27,104718
"Dataquest.io",2022-05-27,40067
"UNDP Guinea-Bissau ",2022-05-27,2510
"DataDotOrg",2022-05-27,2998
"Anaconda Inc.",2022-05-27,36807
"ADAPT Centre",2022-05-27,2938
"Bhutan Data Scientists Pvt Ltd",2022-05-27,76
"Jump Trading LLC",2022-05-27,39764
"Netcelero",2022-05-27,748
"ThinkR (FR)",2022-05-27,592
"Women in Technology (WIT)",2022-05-27,202552
"Globant",2022-05-27,552744
"R-Ladies Gaborone",2022-05-27,288
"Alfred P. Sloan Foundation",2022-05-27,2295
"GlobalLogic",2022-05-27,540877
"Coillte",2022-05-27,13993
"Ishango.ai",2022-05-27,610
"Rose Data Studio LLC",2022-05-27,257
"Walton Family Foundation",2022-05-27,44841
"Machine Learning Prague conference",2022-05-27,236
"KatRisk LLC",2022-05-27,1569
"GitHub",2022-05-27,2542297
"ClusterAI",2022-05-27,451
"The Rockefeller Foundation",2022-05-27,160884
"Mellon Foundation",2022-05-27,18604
"DATANAYA",2022-05-27,1382
"PyData Ireland",2022-05-27,10
"Roche",2022-05-27,2618621
"Tableau",2022-05-27,744949
"NCX",2022-05-27,4982
"BCG Digital Ventures",2022-05-27,137093
"The Global Academy",2022-05-27,278
"KNIME",2022-05-27,30590
"Ursa Labs",2022-05-27,447
"Jane Street",2022-05-27,87712
"Cognizant",2022-05-27,5005423
"Quansight Initiate",2022-05-27,104
"CivicDataLab",2022-05-27,3231
"NumFOCUS",2022-05-27,2785
"Alldus",2022-05-27,33357
"Senseforth.ai",2022-05-27,25917
"The David and Lucile Packard Foundation",2022-05-27,20124
"Coding Black Females",2022-05-27,8049
"FutureLearn",2022-05-27,113349
"The Kresge Foundation",2022-05-27,31274
"UNICEF Office of Research - Innocenti",2022-05-27,47375
"Office for National Statistics",2022-05-27,50364
"Doris Duke Charitable Foundation",2022-05-27,3484
"IBM Data and AI",2022-05-27,215373
"Tiger Analytics",2022-05-27,138810
"Zindi",2022-05-27,9575
"VERDE",2022-05-27,174
"Lander Analytics",2022-05-27,381
"Data Ireland",2022-05-27,807
"Ultimate",2022-05-27,5708
"PyData Global",2022-05-27,2255
"Pluralsight",2022-05-27,149301
"Government Statistical Service",2022-05-27,6097
"Black in Data",2022-05-27,1409
"DataRobot",2022-05-27,108638
"Irish Defence Forces",2022-05-27,11389
"Open Data Institute",2022-05-27,12244
"OpenStreetMap Ireland",2022-05-27,248
"Mango Solutions",2022-05-27,3803
"Analytic Partners",2022-05-27,9725
"Ginkgo Analytics",2022-05-27,1084
"Sister Analyst",2022-05-27,306
"Real Consulting Data",2022-05-27,896
"Data Science Academy",2022-05-27,337541
"R User Community ",2022-05-27,4228
"Sustainable Development Solutions Network",2022-05-27,43265
"getINNOtized GmbH",2022-05-27,4417
"Datalitics",2022-05-27,161
"McKinsey & Company",2022-05-27,4522215
"DeepVidhya",2022-05-27,414
"Nagarro",2022-05-27,377575
"Accenture",2022-05-27,8786811
"R-Ladies Miami",2022-05-27,201
"Olatunde Data Analytics",2022-05-27,667
"r-programming.org",2022-05-27,2348
"Databricks",2022-05-27,327114
"Data Scientists Ltd",2022-05-27,22
"Economic and Social Research Institute (ESRI)",2022-05-27,10678
"Appinventiv",2022-05-27,91688
"Fathom Data",2022-05-27,385
"ORRECO",2022-05-27,2427
"Make Every Woman Count",2022-05-27,144
"Edmonton R User Group",2022-05-27,6
"Twenty Billion Neurons",2022-05-27,3249
"Tag Ng",2022-05-27,297
