"IBM",2023-01-28,14973669
"Accenture",2023-01-28,10149305
"Tata Consultancy Services",2023-01-28,11819093
"McKinsey & Company",2023-01-28,5005318
"SAS",2023-01-28,821952
"Roche",2023-01-28,2858057
"Cognizant",2023-01-28,5951148
"Boston Consulting Group (BCG)",2023-01-28,3551560
"Informatica",2023-01-28,248262
"Ascential",2023-01-28,54408
"Esri",2023-01-28,316067
"Globant",2023-01-28,706918
"Bill & Melinda Gates Foundation",2023-01-28,1072119
"Nagarro",2023-01-28,632138
"Newgen Software",2023-01-28,141939
"Open Society Foundations",2023-01-28,189625
"IUCN",2023-01-28,131556
"Ford Foundation",2023-01-28,149853
"Office for National Statistics",2023-01-28,60952
"KIPP Foundation",2023-01-28,51686
"Robert Wood Johnson Foundation",2023-01-28,70945
"United Nations Foundation",2023-01-28,152967
"Packt",2023-01-28,77847
"MacArthur Foundation",2023-01-28,94080
"Gordon and Betty Moore Foundation",2023-01-28,9482
"Two Sigma",2023-01-28,138976
"The David and Lucile Packard Foundation",2023-01-28,26815
"Skoll Foundation",2023-01-28,39972
"Analytic Partners",2023-01-28,10983
"Conning",2023-01-28,14187
"The James Irvine Foundation",2023-01-28,12111
"William and Flora Hewlett Foundation",2023-01-28,28026
"Elm Company",2023-01-28,474848
"Doris Duke Charitable Foundation",2023-01-28,4371
"Mellon Foundation",2023-01-28,26478
"W.K. Kellogg Foundation",2023-01-28,53199
"Rockefeller Philanthropy Advisors",2023-01-28,32722
"G-Research",2023-01-28,31271
"Brightwater",2023-01-28,123086
"Idiro Analytics",2023-01-28,5075
"Datalytics",2023-01-28,23384
"Mango Solutions",2023-01-28,3855
"Pluralsight",2023-01-28,171318
"The Kresge Foundation",2023-01-28,36904
"New York Community Trust",2023-01-28,3535
"Women In Technology (WIT)",2023-01-28,257157
"Cpl",2023-01-28,270579
"GlobalLogic",2023-01-28,712923
"Susquehanna International Group LLP (SIG)",2023-01-28,108985
"The Rockefeller Foundation",2023-01-28,187864
"Tableau",2023-01-28,817689
"Genpact",2023-01-28,2458901
"i2 Inc.",2023-01-28,1003
"The Apache Software Foundation",2023-01-28,64700
"WorldQuant",2023-01-28,59153
"Collibra",2023-01-28,54532
"Jump Trading LLC",2023-01-28,49389
"Qualtrics",2023-01-28,214599
"United Nations Institute for Training and Research (UNITAR)",2023-01-28,318217
"Remsoft",2023-01-28,3102
"RapidMiner",2023-01-28,19677
"Geoscience Australia",2023-01-28,25456
"Conrad N. Hilton Foundation",2023-01-28,15017
"KNIME",2023-01-28,37815
"Irish Centre for High-End Computing ICHEC",2023-01-28,1307
"Udemy",2023-01-28,1102935
"Pacific Whale Foundation",2023-01-28,2123
"QuantumBlack AI by McKinsey",2023-01-28,183607
"Alteryx",2023-01-28,239922
"Datahug (acquired by CallidusCloud)",2023-01-28,3103
"Stack Overflow",2023-01-28,1210119
"The Analytics Institute of Ireland",2023-01-28,6796
"NCX",2023-01-28,7266
"Kaggle",2023-01-28,360385
"Institute of Mathematics and its Applications",2023-01-28,22578
"Remote Sensing and Photogrammetry Society (RSPSoc)",2023-01-28,22252
"Open Knowledge Foundation",2023-01-28,6520
"Coillte",2023-01-28,16103
"The unbelievable Machine Company GmbH",2023-01-28,2413
"Lucid Software",2023-01-28,77365
"Alfred P. Sloan Foundation",2023-01-28,2650
"United Nations Sustainable Development Group",2023-01-28,207693
"Bloomberg Philanthropies",2023-01-28,68842
"GitHub",2023-01-28,3042437
"Quovantis Technologies",2023-01-28,14327
"r-programming.org",2023-01-28,2406
"Jane Street",2023-01-28,115951
"CSO (Central Statistics Office Ireland)",2023-01-28,9641
"Ginkgo Management Consulting",2023-01-28,3183
"Posit PBC",2023-01-28,91773
"Asystec (Now Ergo)",2023-01-28,2514
"Tiger Analytics",2023-01-28,228015
"Irish Defence Forces",2023-01-28,12831
"African Institute for Mathematical Sciences (AIMS)",2023-01-28,15227
"InSpire at St Peter's",2023-01-28,83
"WellClever",2023-01-28,122
"RegioData Research GmbH",2023-01-28,229
"Geospatial World",2023-01-28,33832
"General Assembly",2023-01-28,190608
"Data Ireland",2023-01-28,816
"Walton Family Foundation",2023-01-28,51165
"Coursera",2023-01-28,1523527
"Flowminder",2023-01-28,1670
"Economic and Social Research Institute (ESRI)",2023-01-28,13701
"DataKind",2023-01-28,17436
"Film Analytics",2023-01-28,219
"Knoldus Inc",2023-01-28,19567
"STATSports",2023-01-28,28115
"DataRobot",2023-01-28,120492
"Xava",2023-01-28,104
"Dataiku",2023-01-28,136509
"Senseforth.ai",2023-01-28,34841
"H2O.ai",2023-01-28,121486
"Falkonry",2023-01-28,3918
"Gapminder Foundation",2023-01-28,16514
"Open Data Institute",2023-01-28,14686
"KatRisk LLC",2023-01-28,1929
"Ixio Analytics",2023-01-28,775
"Royal Statistical Society",2023-01-28,11060
"Black Girls CODE",2023-01-28,44063
"FutureLearn",2023-01-28,119284
"dotConferences",2023-01-28,205
"Xanadu Consultancy",2023-01-28,2912
"ORRECO",2023-01-28,2846
