"X1","X2","X3"
"Business Science",2022-03-31,13338
"Appsilon",2022-03-31,2697
"Women in AI Ireland",2022-03-31,2843
"Black Girls CODE",2022-03-31,29865
"Dragon Coders Private Limited",2022-03-31,147
"Ascential",2022-03-31,46741
"Derilinx",2022-03-31,694
"DataSoc",2022-03-31,811
"Outlier",2022-03-31,96
"African Drone & Data Academy Powered By UNICEF",2022-03-31,1154
"Data Science Dojo",2022-03-31,177888
"Tunis R User Group",2022-03-31,555
"KatRisk LLC",2022-03-31,1438
"UNICEF Office of Research - Innocenti",2022-03-31,43450
"The David and Lucile Packard Foundation",2022-03-31,19362
"Doris Duke Charitable Foundation",2022-03-31,3242
"Alldus",2022-03-31,32107
"Coding Black Females",2022-03-31,7126
"Office for National Statistics",2022-03-31,48877
"Machine Learning Prague conference",2022-03-31,216
"Amazon Science",2022-03-31,222080
"Domino Data Lab",2022-03-31,26481
"Alfred P. Sloan Foundation",2022-03-31,2217
"Decision Inc.",2022-03-31,29247
"R-Ladies Gaborone",2022-03-31,233
"GlobalLogic",2022-03-31,503387
"PyData Berlin",2022-03-31,476
"dotConferences",2022-03-31,208
"Statistics Without Borders",2022-03-31,375
"Walton Family Foundation",2022-03-31,43448
"SDGs",2022-03-31,1955
"UCL Data Science Society",2022-03-31,1166
"Dataiku",2022-03-31,98558
"GitLab",2022-03-31,620367
"InsideAIML",2022-03-31,9090
"The Julia Language",2022-03-31,9951
"The unbelievable Machine Company GmbH",2022-03-31,2211
"Asystec Limited",2022-03-31,2468
"Software Insights Ireland",2022-03-31,1280
"Machine Learning India",2022-03-31,150699
"AI Inclusive",2022-03-31,3225
"Women in Data®",2022-03-31,18136
"Bhutan Data Scientists Pvt Ltd",2022-03-31,73
"UNDP Guinea-Bissau ",2022-03-31,2348
"STATSports",2022-03-31,21907
"Sololearn",2022-03-31,98773
"GitHub",2022-03-31,2439874
"Anaconda Inc.",2022-03-31,29257
"The Rockefeller Foundation",2022-03-31,154648
"Jump Trading LLC",2022-03-31,37915
"Dataquest.io",2022-03-31,39681
"The R Foundation for Statistical Computing",2022-03-31,2747
"Netcelero",2022-03-31,659
"ADAPT Centre",2022-03-31,2734
"DataDotOrg",2022-03-31,2638
"Datahug (acquired by CallidusCloud)",2022-03-31,3109
"ClusterAI",2022-03-31,449
"Women Who Code",2022-03-31,102646
"DataCamp",2022-03-31,297484
"Plotly",2022-03-31,13061
"ThinkR (FR)",2022-03-31,576
"Jane Street",2022-03-31,82586
"Tableau",2022-03-31,727929
"KNIME",2022-03-31,28871
"Roche",2022-03-31,2565107
"CivicDataLab",2022-03-31,3082
"Ursa Labs",2022-03-31,445
"PyData Ireland",2022-03-31,10
"Senseforth.ai",2022-03-31,23008
"The Kresge Foundation",2022-03-31,29988
"IBM Data and AI",2022-03-31,212228
"FutureLearn",2022-03-31,111386
"Data Science Academy",2022-03-31,317019
"McKinsey Africa",2022-03-31,9385
"Fisheries Transparency Initiative (FiTI)",2022-03-31,472
"R User Community ",2022-03-31,2063
"Real Consulting Data",2022-03-31,824
"Analytic Partners",2022-03-31,9480
"IBM Cloud",2022-03-31,195896
"Accenture The Dock",2022-03-31,7494
"Snowflake",2022-03-31,404530
"Sister Analyst",2022-03-31,184
"Ginkgo Analytics",2022-03-31,1029
"Gapminder Foundation",2022-03-31,13750
"Bloomberg Philanthropies",2022-03-31,51750
"Noodle.ai",2022-03-31,20992
"Open Society Foundations",2022-03-31,164326
"Royal Statistical Society",2022-03-31,8873
"Black in Data",2022-03-31,1197
"Ultimate",2022-03-31,5379
"DataRobot",2022-03-31,105114
"Irish Defence Forces",2022-03-31,11050
"OpenStreetMap Ireland",2022-03-31,246
"Lander Analytics",2022-03-31,361
"Mango Solutions",2022-03-31,3781
"VERDE",2022-03-31,171
"R posts you might have missed!",2022-03-31,19666
"Data Ireland",2022-03-31,803
"Tiger Analytics",2022-03-31,119929
"Zindi",2022-03-31,9086
"PyData Global",2022-03-31,1957
"Open Data Institute",2022-03-31,11734
"Government Statistical Service",2022-03-31,5909
"Pluralsight",2022-03-31,143141
"Tata Consultancy Services",2022-03-31,9051981
"Brightwater",2022-03-31,90779
"JuliaActuary",2022-03-31,597
"Legato Health Technologies Ireland",2022-03-31,3264
"The New York Community Trust",2022-03-31,2518
"Conning",2022-03-31,12257
"Data Science Institute",2022-03-31,12263
"Databricks",2022-03-31,309278
"Fathom Data",2022-03-31,345
"Tag Ng",2022-03-31,269
"Olatunde Data Analytics",2022-03-31,655
"Data Scientists Ltd",2022-03-31,19
"Lucid",2022-03-31,48695
"Canvas Intelligence",2022-03-31,11369
"Economic and Social Research Institute (ESRI)",2022-03-31,9936
"Make Every Woman Count",2022-03-31,124
"r-programming.org",2022-03-31,2336
"Twenty Billion Neurons",2022-03-31,3246
"Fivetran",2022-03-31,42549
"Appinventiv",2022-03-31,80720
"ORRECO",2022-03-31,2339
"IHM Southern Africa",2022-03-31,1083
"Open Cadastre",2022-03-31,14
"Project Jupyter",2022-03-31,8728
"United Nations Foundation",2022-03-31,123231
"Ford Foundation",2022-03-31,121239
"i2 Inc.",2022-03-31,986
"Datalitics",2022-03-31,147
"getINNOtized GmbH",2022-03-31,4092
"McKinsey & Company",2022-03-31,4433569
"Sustainable Development Solutions Network",2022-03-31,40929
"Talentyon",2022-03-31,21
"The James Irvine Foundation",2022-03-31,8700
"Statistics Without Borders",2022-03-31,1021
"DeepVidhya",2022-03-31,412
"R-Ladies Miami",2022-03-31,199
"DataIQ School of Analysis",2022-03-31,138
"Idea Magazine",2022-03-31,51
"Accenture",2022-03-31,8463500
"RegioData Research GmbH",2022-03-31,189
"Xuntos - Let's Get Together",2022-03-31,612
"Julia Computing",2022-03-31,10129
"Nagarro",2022-03-31,345002
"365 Data Science",2022-03-31,93646
"Gower Street Analytics",2022-03-31,1776
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-31,10470
"Boston Consulting Group (BCG)",2022-03-31,3110064
"Open Data Science Conference (ODSC)",2022-03-31,122893
"PyData Delhi",2022-03-31,1624
"Data for Good",2022-03-31,7955
"Data For Good",2022-03-31,6393
"ProCogia",2022-03-31,6338
"W.K. Kellogg Foundation",2022-03-31,42665
"Accenture Technology",2022-03-31,286529
"Tableau Events and Webinars",2022-03-31,33881
"DataIQ",2022-03-31,11360
"The Analytics Institute of Ireland",2022-03-31,5523
"Data2X United Nations Foundation",2022-03-31,2808
"Informatica",2022-03-31,216710
"Data for Good Foundation",2022-03-31,1616
"Qualtrics",2022-03-31,183762
"Falkonry",2022-03-31,3508
"Data Science Council of America",2022-03-31,52654
"SAS",2022-03-31,770414
"Towards AI",2022-03-31,203074
"Udemy",2022-03-31,880272
"Pacific Whale Foundation",2022-03-31,1730
"Genpact",2022-03-31,1691698
"Kaggle",2022-03-31,323620
"MachineX Intelligence",2022-03-31,1700
"MacArthur Foundation",2022-03-31,75027
"Rockefeller Philanthropy Advisors",2022-03-31,25183
"DSN- Data Scientists Network (Data Science Nigeria)",2022-03-31,6363
"Global Partnership for Sustainable Development Data",2022-03-31,3618
"GORODATA",2022-03-31,1604
"African Institute for Mathematical Sciences (AIMS)",2022-03-31,11853
"SCALEWORK",2022-03-31,929
"Datalytics",2022-03-31,14144
"DataKind",2022-03-31,14956
"Collibra",2022-03-31,42239
"Outreachy",2022-03-31,5239
"R-Ladies Tunis",2022-03-31,717
"ArkeUp Academy | Océan Indien",2022-03-31,1141
"United Nations Sustainable Development Group",2022-03-31,147107
"Catalyst Seychelles",2022-03-31,208
"PyLadies Dublin",2022-03-31,165
"Data Science Foundation International",2022-03-31,2495
"Major League Hacking",2022-03-31,21923
"Treemetrics Ltd",2022-03-31,1112
"African Institute for Mathematical Sciences Ghana",2022-03-31,1013
"Ayiti Analytics",2022-03-31,947
"G-Research",2022-03-31,25653
"Ixio Analytics",2022-03-31,744
"Quansight",2022-03-31,1359
"UCD Netsoc – UCD's Internet and Computer Science Society",2022-03-31,306
"X-Europe Data Science",2022-03-31,78
"BlackTIDES",2022-03-31,569
"Skoll Foundation",2022-03-31,30804
"Microsoft Power BI by Solution Systems",2022-03-31,55483
"Why R?",2022-03-31,3428
"Invenia Labs",2022-03-31,2069
"Squarepoint Capital",2022-03-31,11357
"SuperDataScience",2022-03-31,77284
"Knoldus Inc",2022-03-31,10964
"Cpl",2022-03-31,225906
"Stack Overflow",2022-03-31,896908
"Two Sigma",2022-03-31,111583
"Alteryx",2022-03-31,189466
"H2O.ai",2022-03-31,107502
"Python Software Foundation",2022-03-31,100465
"Institute of Mathematics and its Applications",2022-03-31,21048
"R Users Group - Ecuador",2022-03-31,237
"Irish Air Corps",2022-03-31,1388
"Idiro Analytics",2022-03-31,4550
"invalid163519",2022-03-31,93498
"Boxfish",2022-03-31,447
"DataKind UK",2022-03-31,2394
"OpenTeams",2022-03-31,1715
"Kitman Labs",2022-03-31,7979
"RapidMiner",2022-03-31,18196
"Benin ThinkLab",2022-03-31,68
"Ginkgo Management Consulting",2022-03-31,2296
"Numeric Mind",2022-03-31,441
"Irish Centre for High-End Computing ICHEC",2022-03-31,1103
"Data Science for Social Good Foundation",2022-03-31,2981
"SDG Academy",2022-03-31,17713
"Bill & Melinda Gates Foundation",2022-03-31,997796
"Towards Data Science",2022-03-31,464034
"FreeLocalMappers",2022-03-31,840
"Data Science by Data Scientist Canada",2022-03-31,16800
"QuantumBlack a McKinsey company",2022-03-31,46986
"LE COOL GROUP",2022-03-31,1320
"Klue",2022-03-31,12152
"insight2impact",2022-03-31,1262
"Oman Data Science Organization ",2022-03-31,110
"Conrad N. Hilton Foundation",2022-03-31,10563
"Remsoft",2022-03-31,2842
"Robert Wood Johnson Foundation",2022-03-31,55994
"KIPP Foundation",2022-03-31,47294
"DeepLearning.AI",2022-03-31,466503
"The Alan Turing Institute",2022-03-31,22099
"PyCaret",2022-03-31,10891
"Aon Centre for Innovation and Analytics (ACIA)",2022-03-31,13538
"Sentient Projects",2022-03-31,663
"Global Shapers Community - Thimphu Hub",2022-03-31,254
"NIMBADATA",2022-03-31,4
"Xava",2022-03-31,56
"RSS Data Science and AI Section",2022-03-31,1423
"R-Ladies Saudi Arabia (Dammam)",2022-03-31,247
"Women in Machine Learning and Data Science MAURITIUS",2022-03-31,86
"Data Visualization Society",2022-03-31,96524
"WorldQuant",2022-03-31,46133
"LSBU Business School ",2022-03-31,1866
"R Consortium",2022-03-31,1978
"Bissau Analytics ",2022-03-31,36
"Statistics Globe",2022-03-31,3231
"allspatial - Geospatial Software and Services",2022-03-31,12
"Data & Society Research Institute",2022-03-31,5785
"Global Fishing Watch",2022-03-31,3600
