"X1","X2","X3"
"IBM",2021-03-10,10338473
"Accenture",2021-03-10,6426861
"Tata Consultancy Services",2021-03-10,5807711
"McKinsey & Company",2021-03-10,3821519
"SAS",2021-03-10,712590
"Roche",2021-03-10,2195936
"Cognizant",2021-03-10,3337248
"Boston Consulting Group (BCG)",2021-03-10,2660033
"Informatica",2021-03-10,183015
"Ascential",2021-03-10,39820
"Globant",2021-03-10,311745
"Bill & Melinda Gates Foundation",2021-03-10,900181
"Nagarro",2021-03-10,146809
"Newgen Software",2021-03-10,76228
"Open Society Foundations",2021-03-10,140647
"IUCN",2021-03-10,80949
"Ford Foundation",2021-03-10,94690
"Office for National Statistics",2021-03-10,38673
"KIPP Foundation",2021-03-10,42623
"Robert Wood Johnson Foundation",2021-03-10,46715
"MacArthur Foundation",2021-03-10,59930
"Gordon and Betty Moore Foundation",2021-03-10,6186
"Two Sigma",2021-03-10,91737
"The David and Lucile Packard Foundation",2021-03-10,15616
"Skoll Foundation",2021-03-10,24292
"Analytic Partners",2021-03-10,8173
"Conning",2021-03-10,11466
"The James Irvine Foundation",2021-03-10,6908
"William and Flora Hewlett Foundation",2021-03-10,14959
"Elm Company",2021-03-10,324663
"Doris Duke Charitable Foundation",2021-03-10,2398
"The Andrew W. Mellon Foundation",2021-03-10,11786
"W.K. Kellogg Foundation",2021-03-10,35197
"Rockefeller Philanthropy Advisors",2021-03-10,20844
"G-Research",2021-03-10,20803
"Brightwater",2021-03-10,71514
"Idiro Analytics",2021-03-10,1983
"Datalytics",2021-03-10,7145
"Mango Solutions",2021-03-10,3442
"Pluralsight",2021-03-10,111856
"The Kresge Foundation",2021-03-10,23247
"The New York Community Trust",2021-03-10,1847
"Women in Technology (WIT)",2021-03-10,110255
"Cpl",2021-03-10,178086
"GlobalLogic",2021-03-10,319181
"Susquehanna International Group LLP (SIG)",2021-03-10,74377
"The Rockefeller Foundation",2021-03-10,127001
"Tableau Software",2021-03-10,607629
"Genpact",2021-03-10,1093766
"i2 Inc.",2021-03-10,958
"The Apache Software Foundation",2021-03-10,47022
"Defence Forces of Ireland",2021-03-10,3922
"WorldQuant",2021-03-10,39026
"Collibra",2021-03-10,27524
"Jump Trading LLC",2021-03-10,27270
"Qualtrics",2021-03-10,147882
"Remsoft",2021-03-10,2401
"RapidMiner",2021-03-10,12931
"Conrad N. Hilton Foundation",2021-03-10,8458
"KNIME",2021-03-10,16315
"Irish Centre for High-End Computing ICHEC",2021-03-10,818
"Udemy",2021-03-10,562171
"Pacific Whale Foundation",2021-03-10,1425
"QuantumBlack",2021-03-10,32110
"Alteryx",2021-03-10,143055
"Datahug (acquired by CallidusCloud)",2021-03-10,3155
