"Fujitsu",2021-03-13,387453
"Fugro",2021-03-13,186461
"University College Dublin",2021-03-13,218461
"Oceaneering",2021-03-13,274319
"Appriss",2021-03-13,5233
"Katalyst Data Management",2021-03-13,3355
"Kadme AS - Knowledge and Data Management Expertise",2021-03-13,961
"Neuralog",2021-03-13,1009
"Subsea 7",2021-03-13,466856
"Prospect 33",2021-03-13,20640
"ATRIBS",2021-03-13,4798
"DOF Subsea",2021-03-13,133284
"Thalesians Ltd",2021-03-13,3561
"geoLOGIC systems ltd.",2021-03-13,2285
"Dubai Technologies",2021-03-13,3206
"Publicjobs.ie - Public Appointments Service",2021-03-13,78401
"TazWorks LLC",2021-03-13,656
"Kaggle",2021-03-13,280394
"gistec",2021-03-13,7027
"Appriss Insights",2021-03-13,1889
"Integra Data Systems Corp.",2021-03-13,68
"RStudio PBC",2021-03-13,63900
"Bayanat for Mapping & Surveying Services LLC",2021-03-13,7436
"Gulf Business Solutions (GBS)",2021-03-13,512
"Dubai Technology Entrepreneur Campus - Dtec",2021-03-13,4349
"Nottingham Economics & Finance Society",2021-03-13,2070
"DataCamp",2021-03-13,208479
"The Data Lab - Innovation Centre",2021-03-13,6444
"Data Science Institute",2021-03-13,9415
"Los Angeles Machine Learning Meetup",2021-03-13,10
"Python Software Foundation",2021-03-13,76363
"Data Science Society",2021-03-13,1259
"Gulf IT",2021-03-13,692
"Data Science Student Society at UCSD",2021-03-13,360
"CONNECT Centre",2021-03-13,2615
"Irish Student Consulting Group (ISCG)",2021-03-13,2467
"Julia Computing",2021-03-13,5008
"McMaster Computer Science Society",2021-03-13,76
"Python Ireland",2021-03-13,723
"UCD Investors and Entrepreneurs Society",2021-03-13,1730
"SoloLearn",2021-03-13,59780
"Cambridge University Data Science Society",2021-03-13,131
"MicroMap IT & GIS Consultancy Abu Dhabi",2021-03-13,683
"Securitec Screening Solutions Inc.",2021-03-13,298
"AI Copenhagen",2021-03-13,288
"Erde Technologies Inc.",2021-03-13,17
"DAIN Studios",2021-03-13,1434
"Data Science Indonesia",2021-03-13,3847
"Machine Learning Mastery",2021-03-13,171475
"Imperial College Data Science Society",2021-03-13,456
"GULF TRAINING AND CONSULTATION CENTER",2021-03-13,133
"SuperDataScience",2021-03-13,62853
"Nordic.AI",2021-03-13,484
"Ryerson University Data Science Society",2021-03-13,156
"Nième Conseil",2021-03-13,189
"Data Science Ghent",2021-03-13,235
"University of Bristol Computer Science Society",2021-03-13,107
"Queen Mary Electronic Engineering & Computer Science Society",2021-03-13,37
"OpenDataScience [ods.ai]",2021-03-13,5821
"Big Data and Artificial Intelligence Club",2021-03-13,174
"vGIS",2021-03-13,6634
"Data Science Portugal",2021-03-13,6183
"Western Computer Science Undergraduate Society",2021-03-13,51
"SwissAI",2021-03-13,338
"Ankara University Computer Society",2021-03-13,62
"UBC Computer Science Student Society",2021-03-13,128
"Aalto Artificial Intelligence Society",2021-03-13,33
"SAIS Sheffield Artificial Intelligence Society",2021-03-13,33
"UCD I&E Student Managed Fund",2021-03-13,591
"Data Science Research Perú",2021-03-13,4978
"Finance Society at the University of Connecticut",2021-03-13,220
"Dalhousie Computer Science Society",2021-03-13,43
"Machine Learning at Berkeley",2021-03-13,2094
"UoM AI and Machine Learning Society",2021-03-13,53
"Data Science & Artificial Intelligence/AI South East London",2021-03-13,67
"Artificial Intelligence Hong Kong",2021-03-13,1973
"Hong Kong Data Science Society",2021-03-13,186
"Beacon IT Solutions Abu Dhabi",2021-03-13,57
"LSESU Machine Learning Society",2021-03-13,82
"Kharagpur Data Analytics Group",2021-03-13,266
"Data Visualization Society",2021-03-13,74531
"Cologne AI and Machine Learning Meetup",2021-03-13,160
"Computer Science Society (CSS) - University of Birmingham",2021-03-13,132
"Machine Learning India",2021-03-13,109764
"Lancaster University Computer Science Society",2021-03-13,45
"Hong Kong Machine Learning",2021-03-13,2167
"MLT",2021-03-13,6696
"Machine Learning Society at MIM UW",2021-03-13,103
"Dublin University Computer Science Society",2021-03-13,19
"SeismicZone",2021-03-13,383
"Appriss Health",2021-03-13,1147
"McMaster Computer Science Society",2021-03-13,83
"Machine Learning Society",2021-03-13,18978
"Data Istanbul",2021-03-13,3971
"Data Science Student Society at UJ",2021-03-13,71
"UNSW Computer Science and Engineering Society (CSESoc)",2021-03-13,749
"UNSW Data Science Society (DataSoc)",2021-03-13,464
"Leeds Data Science Society",2021-03-13,262
"DeepLearning.AI",2021-03-13,367644
"Data Science Society at Berkeley",2021-03-13,558
"UCL Data Science Society",2021-03-13,777
"McMaster Artificial Intelligence Society",2021-03-13,653
"CSUDH Finance Student Society",2021-03-13,51
"Data Science Research Arab Team",2021-03-13,93
"Columbia Data Science Society",2021-03-13,382
"Neptune Energy",2021-03-13,42698
"Sydney Machine Learning Group",2021-03-13,146
"meetup.ai",2021-03-13,307
"ICL Machine Learning Society",2021-03-13,75
"ITU Data Science Society ",2021-03-13,763
"Data Science Nigeria",2021-03-13,3197
"JerusML",2021-03-13,282
"Otago Computer Science Society",2021-03-13,16
"Integra Data and Analytic Solutions",2021-03-13,1285
"Data Lille",2021-03-13,677
"LSESU Data Science Society",2021-03-13,5
"Sheffield Women in Computer Science Society",2021-03-13,43
"Carleton Artificial Intelligence Society",2021-03-13,212
"AUB Computer Science Students Society",2021-03-13,103
"Data Science and Ai Association of Australia | DSAi",2021-03-13,3096
"Data Science Club of UWA",2021-03-13,231
"Alice Insights Inc.",2021-03-13,227
"Data Science Club at UTDallas",2021-03-13,972
"Towards Data Science",2021-03-13,317925
"Toronto Machine Learning Society (TMLS)",2021-03-13,5967
"Silo AI",2021-03-13,4368
"Appriss VINE",2021-03-13,921
"Warwick Data Science Society ",2021-03-13,527
"Data Science Milan",2021-03-13,701
"The Data Pub",2021-03-13,1315
"Machine Learning & Data Science Meetup Roma",2021-03-13,149
"Data Science Society",2021-03-13,146
"USC Center for AI in Society's Student Branch (CAIS++)",2021-03-13,135
"Artificial Intelligence & Robotics Society University of Portsmouth",2021-03-13,79
"Machine Learning",2021-03-13,113389
"The Machine Learning Institute Certificate in Finance (MLI)",2021-03-13,562
"Artificial Intelligence in Medicine Student Society (AIMSS)",2021-03-13,72
