Tag,Date,Followers
#finance,02/10/2020,1143218
#financeprofessionals,02/10/2020,707
#quantfinance,02/10/2020,68
#financialmodelling,02/10/2020,1445
#corporatefinance,02/10/2020,15706
#fintech,02/10/2020,415422 
#cfa,02/10/2020,11006
#technology,02/10/2020,26434979
#optionstrading,02/10/2020,438 
#financialmarket,02/10/2020,287
#financialrisk,02/10/2020,219
#quantitativefinance,02/10/2020,4561
#wealthmanagement,02/10/2020,67857
#optionstrading,02/10/2020,438 
#investmentportfolio,02/10/2020,554
#investingstrategy,02/10/2020,27
#finance,02/10/2020,1143226
#investmentmanagement,02/10/2020,24941
#wealthmanager,02/10/2020,188 
#hedging,02/10/2020,551 
#investing,02/10/2020,14510013
#investments,02/10/2020,43336 
#investment,02/10/2020,71286
#economy,02/10/2020,18811334
#markets,02/10/2020,22426468
#equities,02/10/2020,22353 
#options,02/10/2020,869 
#optionsstrategies,02/10/2020,146 
#optionstrader,02/10/2020,11
#stocktrading,02/10/2020,8230
#riskmanagement,02/10/2020,1310026  
#assetallocation,02/10/2020,12766
#montecarlo,2020-10-08,324
#montecarlosimulation,2020-10-08,63
#fintech,2020-10-08,416006

