Company,Date,Followers
"Alfred P. Sloan Foundation",2020-10-05,"1592"
"Alfred P. Sloan Foundation",2020-10-13,"1597"
"Alfred P. Sloan Foundation",2020-10-16,"1604"
"Alfred P. Sloan Foundation",2020-10-25,"1618"
"Alfred P. Sloan Foundation",2020-10-28,"1620"
"Doris Duke Charitable Foundation",2020-10-25,"2201"
"Doris Duke Charitable Foundation",2020-10-28,"2205"
"Gapminder Foundation",2020-10-20,"9677"
"Gapminder Foundation",2020-10-20,"9676"
"Gapminder Foundation",2020-10-21,"9694"
"Gapminder Foundation",2020-10-23,"9707"
"Gapminder Foundation",2020-10-25,"9727"
"Gapminder Foundation",2020-10-25,"9720"
"Gapminder Foundation",2020-10-28,"9739"
"Gordon and Betty Moore Foundation",2020-10-25,"5867"
"Gordon and Betty Moore Foundation",2020-10-28,"5874"
"MacArthur Foundation",2020-10-25,"53434"
"MacArthur Foundation",2020-10-28,"53570"
"Robert Wood Johnson Foundation",2020-10-25,"43137"
"Robert Wood Johnson Foundation",2020-10-28,"43221"
"Rockefeller Philanthropy Advisors",2020-10-25,"18700"
"Rockefeller Philanthropy Advisors",2020-10-28,"18750"
"The Andrew W. Mellon Foundation",2020-10-25,"8748"
"The Andrew W. Mellon Foundation",2020-10-28,"8791"
"The Rockefeller Foundation",2020-10-25,"115217"
"The Rockefeller Foundation",2020-10-28,"115438"
"William and Flora Hewlett Foundation",2020-10-25,"12553"
"William and Flora Hewlett Foundation",2020-10-28,"12602"
