"Region1","Region2","Location","Date","Followers"
"..","..","#ÂÅ„≥dÂ∫","2020-10-27",0
"..","..","#ÂÅ„≥dÂ∫","2020-12-07",110
"..","..","#ÂÅ„≥dÂ∫","2021-04-21",115
"..","..","#aarhus","2020-10-26",262
"..","..","#aarhus","2020-12-07",266
"..","..","#aarhus","2021-04-21",275
"..","..","#aberdeen","2020-12-09",3529
"..","..","#aberdeen","2021-04-21",3565
"..","..","#aberdeen","2021-07-14",3587
"..","..","#abidjan","2020-12-09",9795
"..","..","#abidjan","2021-04-21",9835
"..","..","#abruzzo","2020-10-26",174
"..","..","#abruzzo","2020-12-07",190
"..","..","#abruzzo","2021-04-21",223
"..","..","#abudhabi","2020-10-18",682220
"..","..","#abudhabi","2021-07-09",689804
"..","..","#abudhabi","2021-07-13",689805
"..","..","#abuja","2020-12-09",7808
"..","..","#abuja","2021-04-21",7833
"..","..","#accra","2020-12-09",4729
"..","..","#accra","2021-04-21",4737
"..","..","#adelaide","2020-12-09",3365
"..","..","#adelaide","2021-04-21",3375
"..","..","#africa","2020-10-18",1156856
"..","..","#ahmedabad","2020-10-28",25201
"..","..","#ahmedabad","2020-12-07",25307
"..","..","#ahmedabad","2021-04-21",25697
"..","..","#alabama","2020-12-06",1083
"..","..","#alabama","2021-04-21",1111
"..","..","#alaska","2020-12-06",439
"..","..","#alaska","2021-04-21",484
"..","..","#albuquerque","2020-12-06",159
"..","..","#albuquerque","2021-04-21",167
"..","..","#alexandria","2020-12-08",817
"..","..","#alexandria","2021-04-21",923
"..","..","#algiers","2020-10-17",1423
"..","..","#algiers","2020-12-08",1420
"..","..","#algiers","2021-04-21",1418
"..","..","#alicante","2020-10-26",338
"..","..","#alicante","2020-12-07",353
"..","..","#alicante","2021-04-21",382
"..","..","#almaty","2020-10-28",302
"..","..","#almaty","2020-12-07",303
"..","..","#almaty","2021-04-21",309
"..","..","#alsace","2020-10-26",404
"..","..","#alsace","2020-12-07",435
"..","..","#alsace","2021-04-21",525
"..","..","#amman","2021-07-09",4113
"..","..","#amsterdam","2020-10-17",4337
"..","..","#amsterdam","2020-10-26",4347
"..","..","#amsterdam","2020-12-07",4393
"..","..","#amsterdam","2021-01-16",4437
"..","..","#amsterdam","2021-04-21",4538
"..","..","#amsterdam","2021-07-09",4603
"..","..","#anaheim","2020-12-06",80
"..","..","#anaheim","2021-04-21",83
"..","..","#anchorage","2020-12-08",88
"..","..","#anchorage","2021-04-21",108
"..","..","#andalusia","2020-10-26",68
"..","..","#andalusia","2020-12-07",88
"..","..","#andalusia","2021-04-21",107
"..","..","#ankara","2020-10-28",5214
"..","..","#ankara","2020-12-07",5231
"..","..","#ankara","2020-12-09",5232
"..","..","#ankara","2021-04-21",5265
"..","..","#ankara","2021-04-21",5265
"..","..","#antananarivo","2020-12-09",53
"..","..","#antananarivo","2021-04-21",55
"..","..","#antwerp","2020-10-26",208
"..","..","#antwerp","2020-12-07",213
"..","..","#antwerp","2021-04-21",230
"..","..","#aquitaine","2020-10-26",63
"..","..","#aquitaine","2020-12-07",63
"..","..","#aquitaine","2021-04-21",70
"..","..","#aragon","2020-10-26",88
"..","..","#aragon","2020-10-26",88
"..","..","#aragon","2020-12-07",93
"..","..","#aragon","2021-04-21",101
"..","..","#arizona","2020-12-06",3495
"..","..","#arizona","2021-04-21",3556
"..","..","#arkansas","2020-12-06",300
"..","..","#arkansas","2021-04-21",319
"..","..","#arlington","2020-12-06",65
"..","..","#arlington","2021-04-21",74
"..","..","#ashgabat","2020-12-09",13
"..","..","#ashgabat","2021-04-21",13
"..","..","#asturias","2020-10-26",433
"..","..","#asturias","2020-10-26",433
"..","..","#asturias","2020-12-07",452
"..","..","#asturias","2021-04-21",482
"..","..","#asuncion","2020-12-08",239
"..","..","#asuncion","2021-04-21",239
"..","..","#athens","2020-10-26",2314
"..","..","#athens","2020-12-07",2320
"..","..","#athens","2021-04-21",2344
"..","..","#atlanta","2020-10-18",7793
"..","..","#atlanta","2020-12-06",7829
"..","..","#atlanta","2021-04-21",7903
"..","..","#auckland","2020-12-09",3036
"..","..","#auckland","2021-04-21",3052
"..","..","#auckland","2021-07-14",3076
"..","..","#aurora","2020-12-06",298
"..","..","#aurora","2021-04-21",337
"..","..","#austin","2020-12-06",5127
"..","..","#austin","2021-04-21",5199
"..","..","#baghdad","2020-10-28",1101
"..","..","#baghdad","2020-12-07",1118
"..","..","#baghdad","2021-04-21",1162
"..","..","#bahia","2020-12-08",525
"..","..","#bahia","2021-04-21",590
"..","..","#bahrain","2020-10-18",13452
"..","..","#bahrain","2021-07-09",14238
"..","..","#bahrain","2021-07-14",14250
"..","..","#bakersfield","2020-12-06",116
"..","..","#bakersfield","2021-04-21",126
"..","..","#baku","2020-10-17",531
"..","..","#baku","2020-10-28",531
"..","..","#baku","2020-12-07",537
"..","..","#baku","2021-04-21",563
"..","..","#baltimore","2020-10-15",551
"..","..","#baltimore","2020-12-06",561
"..","..","#baltimore","2021-04-21",588
"..","..","#bandung","2020-10-28",813
"..","..","#bandung","2020-12-08",826
"..","..","#bandung","2021-04-21",844
"..","..","#bangkok","2020-10-28",2832
"..","..","#bangkok","2020-12-08",2838
"..","..","#bangkok","2021-04-21",2889
"..","..","#bangui","2020-12-09",15
"..","..","#bangui","2021-04-21",19
"..","..","#barcelona","2020-10-26",6175
"..","..","#barcelona","2020-12-07",6225
"..","..","#barcelona","2021-04-21",6384
"..","..","#bari","2020-10-26",297
"..","..","#bari","2020-12-07",300
"..","..","#bari","2021-04-21",320
"..","..","#barranquilla","2020-12-08",4797
"..","..","#barranquilla","2021-04-21",4988
"..","..","#basel","2020-10-18",402
"..","..","#basilicata","2020-10-26",68
"..","..","#basilicata","2020-12-07",75
"..","..","#basilicata","2021-04-21",90
"..","..","#basque","2020-10-26",16
"..","..","#basque","2020-12-07",16
"..","..","#basque","2021-04-21",18
"..","..","#beijing","2020-10-28",3195
"..","..","#beijing","2020-12-08",3204
"..","..","#beijing","2021-04-21",3234
"..","..","#beirut","2020-10-17",3081
"..","..","#beirut","2020-12-09",3088
"..","..","#beirut","2021-04-21",3110
"..","..","#beirut","2021-07-09",3121
"..","..","#belem","2020-12-08",108
"..","..","#belem","2021-04-21",121
"..","..","#belgium","2021-07-09",6706
"..","..","#belo horizonte","2020-12-08",875
"..","..","#belo horizonte","2021-04-21",928
"..","..","#bengaluru","2020-10-14",7920
"..","..","#bengaluru","2020-10-28",7946
"..","..","#bengaluru","2020-12-08",7984
"..","..","#bengaluru","2021-04-21",8214
"..","..","#bergen","2020-12-09",123
"..","..","#bergen","2021-04-21",132
"..","..","#berlin","2020-10-07",7271
"..","..","#berlin","2020-10-14",7288
"..","..","#berlin","2020-10-17",7290
"..","..","#berlin","2020-10-26",7303
"..","..","#berlin","2020-12-07",7355
"..","..","#berlin","2021-01-16",7394
"..","..","#berlin","2021-04-21",7523
"..","..","#bielefeld","2020-10-26",53
"..","..","#bielefeld","2020-12-07",54
"..","..","#bielefeld","2021-04-21",62
"..","..","#bilbao","2020-10-26",338
"..","..","#bilbao","2020-12-07",348
"..","..","#bilbao","2021-04-21",374
"..","..","#bilbao","2021-07-14",385
"..","..","#birmingham","2020-10-17",4435
"..","..","#birmingham","2020-12-09",4452
"..","..","#birmingham","2021-04-21",4504
"..","..","#bishkek","2020-12-09",125
"..","..","#bishkek","2021-04-21",124
"..","..","#bochum","2020-10-26",45
"..","..","#bochum","2020-12-07",49
"..","..","#bochum","2021-04-21",62
"..","..","#bogota","2020-12-08",14874
"..","..","#bogota","2021-04-21",14961
"..","..","#bolivia","2020-10-18",4962
"..","..","#bologna","2020-10-26",556
"..","..","#bologna","2020-12-07",573
"..","..","#bologna","2021-04-21",621
"..","..","#bonn","2020-10-26",125
"..","..","#bonn","2020-12-07",130
"..","..","#bonn","2021-04-21",142
"..","..","#bordeaux","2020-12-09",13606
"..","..","#bordeaux","2021-04-21",13739
"..","..","#boston","2020-12-06",5966
"..","..","#boston","2021-01-17",5996
"..","..","#boston","2021-04-21",6036
"..","..","#botswana","2020-10-15",1038
"..","..","#bradford","2020-10-17",159
"..","..","#brasil","2020-10-09",15204
"..","..","#brasil","2020-10-18",15208
"..","..","#brasilia","2020-12-08",364
"..","..","#brasilia","2021-04-21",386
"..","..","#bratislava","2020-10-26",164
"..","..","#bratislava","2020-12-07",171
"..","..","#bratislava","2021-04-21",179
"..","..","#bremen","2020-10-26",151
"..","..","#bremen","2020-12-07",156
"..","..","#bremen","2021-04-21",189
"..","..","#brest","2020-12-09",425
"..","..","#brest","2021-04-21",467
"..","..","#brighton","2020-12-09",330
"..","..","#brighton","2021-04-21",351
"..","..","#brisbane","2020-10-18",5650
"..","..","#brisbane","2020-12-09",5669
"..","..","#brisbane","2021-04-21",5685
"..","..","#bristol","2020-12-09",2702
"..","..","#bristol","2021-04-21",2744
"..","..","#brittany","2020-10-26",20
"..","..","#brittany","2020-12-07",21
"..","..","#brittany","2021-04-21",24
"..","..","#brno","2020-10-26",194
"..","..","#brno","2020-12-07",196
"..","..","#brno","2021-04-21",207
"..","..","#bronx","2021-01-17",94
"..","..","#brussels","2020-10-15",3700
"..","..","#brussels","2020-12-09",3718
"..","..","#brussels","2021-04-21",3756
"..","..","#bruxelles","2020-10-15",592
"..","..","#bucharest","2020-10-26",947
"..","..","#bucharest","2020-12-07",948
"..","..","#bucharest","2021-04-21",961
"..","..","#budapest","2020-10-17",841
"..","..","#budapest","2020-10-26",845
"..","..","#budapest","2020-12-07",852
"..","..","#budapest","2021-04-21",873
"..","..","#buenos aires","2020-12-08",9873
"..","..","#buenos aires","2021-04-21",9894
"..","..","#buenosaires","2020-10-18",9861
"..","..","#burgenland","2020-10-26",7
"..","..","#burgenland","2020-12-07",8
"..","..","#burgenland","2021-04-21",11
"..","..","#burgundy","2020-10-26",198
"..","..","#burgundy","2020-12-07",200
"..","..","#burgundy","2021-04-21",210
"..","..","#burundi","2020-10-18",246
"..","..","#busan","2020-10-28",33
"..","..","#busan","2020-12-08",34
"..","..","#busan","2021-04-21",42
"..","..","#busan","2021-07-14",43
"..","..","#bydgoszcz","2020-10-26",82
"..","..","#bydgoszcz","2020-12-07",85
"..","..","#bydgoszcz","2021-04-21",90
"..","..","#c„≥rdoba","2020-10-26",403
"..","..","#c„≥rdoba","2020-12-07",3292
"..","..","#c„≥rdoba","2021-04-21",3346
"..","..","#cairo","2020-10-14",7871
"..","..","#cairo","2020-12-08",7881
"..","..","#cairo","2021-04-21",7933
"..","..","#cairo","2021-07-09",7970
"..","..","#calabria","2020-10-26",199
"..","..","#calabria","2020-12-07",211
"..","..","#calabria","2021-04-21",246
"..","..","#calais","2020-12-09",56
"..","..","#calais","2021-04-21",65
"..","..","#calgary","2020-12-08",6112
"..","..","#calgary","2021-04-21",6141
"..","..","#cali","2020-12-08",4390
"..","..","#cali","2021-04-21",4513
"..","..","#calicut","2020-10-09",85
"..","..","#calicut","2020-10-18",85
"..","..","#california","2020-10-09",4507
"..","..","#california","2020-10-15",4516
"..","..","#california","2020-12-06",4614
"..","..","#california","2021-04-21",4822
"..","..","#cambridge","2020-12-09",1455
"..","..","#cambridge","2021-04-21",1518
"..","..","#campania","2020-10-26",165
"..","..","#campania","2020-12-07",170
"..","..","#campania","2021-04-21",201
"..","..","#canada","2020-10-09",57359
"..","..","#canada","2020-10-18",57628
"..","..","#canberra","2020-12-09",2506
"..","..","#canberra","2021-04-21",2524
"..","..","#cantabria","2020-10-26",175
"..","..","#cantabria","2020-10-26",175
"..","..","#cantabria","2020-12-07",180
"..","..","#cantabria","2021-04-21",204
"..","..","#cape town","2020-12-09",7777
"..","..","#cape town","2021-04-21",7793
"..","..","#capetown","2020-10-15",7763
"..","..","#caracas","2020-12-08",9925
"..","..","#caracas","2021-04-21",9987
"..","..","#cardiff","2020-10-06",644
"..","..","#cardiff","2020-10-17",650
"..","..","#cardiff","2020-12-09",666
"..","..","#cardiff","2021-01-16",673
"..","..","#cardiff","2021-04-21",693
"..","..","#carinthia","2020-10-26",6
"..","..","#carinthia","2020-12-07",6
"..","..","#carinthia","2021-04-21",11
"..","..","#casablanca","2020-10-18",21907
"..","..","#casablanca","2020-12-08",21999
"..","..","#casablanca","2021-04-21",22141
"..","..","#catalonia","2020-10-26",51
"..","..","#catalonia","2020-12-07",50
