Company,Date,Followers
PyCon India 2020,2020-10-24,4146
PyData,2020-10-24,304
Python Academy,2020-10-24,8915
Python Certification .Org,2020-10-24,769
Python Charmers,2020-10-24,731
Python Developer | Afixi Technologies,2020-10-24,1709
python Django Web Development,2020-10-24,532
Python Interview Questions,2020-10-24,232
Python Ireland,2020-10-24,644
"PyCon India 2020",2020-10-16,"4109"
"PyCon India 2020",2020-10-18,"4113"
"PyCon India 2020",2020-10-21,"4129"
"PyData",2020-10-16,"303"
"PyData Berlin",2020-10-20,"412"
"PyData Berlin",2020-10-21,"412"
"PyData Berlin",2020-10-23,"412"
"PyData Cardiff",2020-10-16,"117"
"PyData Cardiff",2020-10-20,"117"
"PyData Cardiff",2020-10-22,"117"
"PyLadies Berlin",2020-10-16,"48"
"PyLadies Berlin",2020-10-20,"49"
"PyLadies Berlin",2020-10-22,"49"
"PyLadies Los Angeles",2020-10-16,"166"
"PyLadies Los Angeles",2020-10-22,"167"
"Python Academy",2020-10-16,"8866"
"Python Academy",2020-10-16,"8867"
"Python Academy",2020-10-18,"8874"
"Python Academy",2020-10-20,"8890"
"Python Academy",2020-10-21,"8900"
"Python Academy",2020-10-21,"	8900"
"Python Certification .Org",2020-10-16,"743"
"Python Certification .Org",2020-10-18,"748"
"Python Certification .Org",2020-10-21,"764"
"Python Charmers",2020-10-16,"730"
"Python Charmers",2020-10-18,"730"
"Python Charmers",2020-10-21,"730"
"Python Developer | Afixi Technologies",2020-10-21,"1706"
"Python Developer Afixi Technologies",2020-10-16,"1697"
"Python Developers Club",2020-10-16,"629"
"python Django Web Development",2020-10-16,"518"
"python Django Web Development",2020-10-18,"521"
"python Django Web Development",2020-10-21,"530"
"Python Interview Questions",2020-10-16,"229"
"Python Interview Questions",2020-10-18,"230"
"Python Interview Questions",2020-10-21,"230"
"Python Ireland",2020-10-07,"637"
"Python Ireland",2020-10-13,"640"
"Python Ireland",2020-10-16,"642"
"Python Ireland",2020-10-20,"642"
"Python Ireland",2020-10-21,"643"
"Python Ireland",2020-10-23,"644"
"Python Ireland",2020-10-20,"	642"
"Python Jobs",2020-10-16,"2502"
"Python Jobs",2020-10-21,"2520"
"Python Learner & Developer",2020-10-16,"727"
"Python Learner & Developer",2020-10-21,"739"
"Python Learning",2020-10-21,"110"
"Python Learning Organization",2020-10-16,"279"
"Python Learning Organization",2020-10-21,"280"
"Python Machine Learning",2020-10-16,"1591"
"Python Machine Learning",2020-10-18,"1596"
"Python Machine Learning",2020-10-21,"1599"
"python online course",2020-10-16,"846"
"python online course",2020-10-21,"863"
"Python posts you might have missed!",2020-10-06,"413"
"Python posts you might have missed!",2020-10-13,"433"
"Python posts you might have missed!",2020-10-16,"445"
"Python posts you might have missed!",2020-10-20,"453"
"Python Predictions",2020-10-18,"7101"
"Python Predictions",2020-10-21,"7111"
"Python Software Foundation",2020-10-05,"66750"
"Python Software Foundation",2020-10-10,"66985"
"Python Software Foundation",2020-10-14,"67218"
"Python Software Foundation",2020-10-16,"67345"
"Python Software Foundation",2020-10-16,"67347"
"Python Software Foundation",2020-10-17,"67409"
"Python Software Foundation",2020-10-18,"67431"
"Python Software Foundation",2020-10-20,"67615"
"Python Software Foundation",2020-10-20,"67582"
"Python Software Foundation",2020-10-21,"67676"
"Python Software Foundation",2020-10-21,"67662"
"Python Software Foundation",2020-10-23,"67770"
"Python Software Foundation",2020-10-21,"	67663"
"The Python Quants GmbH",2020-10-16,"997"
"The Python Quants GmbH",2020-10-21,"998"
Python Jobs,2020-10-24,2526
Python Learner & Developer,2020-10-24,743
Python Learning,2020-10-24,114
Python Learning Organization,2020-10-24,283
Python Machine Learning,2020-10-24,1607
python online course,2020-10-24,868
Python Predictions,2020-10-24,7115
Python Software Foundation,2020-10-24,67824
The Python Quants GmbH,2020-10-24,1002
