"Company","Date","Followers"
"R-Ladies",2020-10-05,"3114"
"R-Ladies",2020-10-10,"3136"
"R-Ladies",2020-10-13,"3151"
"R-Ladies",2020-10-16,"3162"
"R-Ladies",2020-10-16,"3163"
"R-Ladies",2020-10-18,"3166"
"R-Ladies",2020-10-19,"3170"
"R-Ladies",2020-10-20,"3174"
"R-Ladies",2020-10-21,"3181"
"R-Ladies",2020-10-22,"3186"
"R-Ladies",2020-10-22,"3186"
"R-Ladies Bari",2020-10-16,"136"
"R-Ladies Bari",2020-10-21,"144"
"R-Ladies Bari",2020-10-22,"144"
"R-Ladies Belo Horizonte",2020-10-16,"1425"
"R-Ladies Belo Horizonte",2020-10-20,"1437"
"R-Ladies Tunis",2020-10-16,"336"
"R-Ladies Tunis",2020-10-20,"359"
"r-programming.org",2020-10-16,"2198"
"r-programming.org",2020-10-20,"2200"
"r-programming.org",2020-10-21,"2203"
"r-programming.org",2020-10-23,"2203"
"r-programming.org",2020-10-25,"2203"
"R-TRAINER",2020-10-16,"36"
"R-TRAINER",2020-10-18,"36"
"R Consortium",2020-10-10,"45"
"R Consortium",2020-10-13,"45"
"R Consortium",2020-10-18,"45"
"R Consortium",2020-10-20,"46"
"R Consortium",2020-10-21,"46"
"R Consortium",2020-10-22,"46"
"R Consortium",2020-10-23,"46"
"R Consortium",2020-10-25,"46"
"R posts you might have missed!",2020-10-06,"3519"
"R posts you might have missed!",2020-10-12,"3593"
"R posts you might have missed!",2020-10-15,"3641"
"R posts you might have missed!",2020-10-16,"3661"
"European R Users Meeting",2020-10-10,"773"
"European R Users Meeting",2020-10-16,"773"
"European R Users Meeting",2020-10-21,"772"
"European R Users Meeting",2020-10-22,"772"
"European R Users Meeting",2020-10-20,"772"
"R posts you might have missed!",2020-10-16,"3662"
"R posts you might have missed!",2020-10-18,"3684"
"R posts you might have missed!",2020-10-19,"3702"
"R posts you might have missed!",2020-10-20,"3713"
"R posts you might have missed!",2020-10-21,"3729"
"R posts you might have missed!",2020-10-22,"3746"
"R Users Group - Ecuador",2020-10-20,"116"
"R Users Group - Ecuador",2020-10-21,"116"
"R Users Group - Ecuador",2020-10-23,"116"
"R Users Group - Ecuador",2020-10-25,"116"
"R Users Leeds",2020-10-16,"51"
"R Users Leeds",2020-10-18,"51"
"R Users Leeds",2020-10-21,"51"
"R Users Leeds",2020-10-22,"51"
"R!Studio",2020-10-16,"239"
"R!Studio",2020-10-20,"241"
"R4DS Online Learning Community",2020-10-16,"38"
"R4DS Online Learning Community",2020-10-19,"39"
"R4DS Online Learning Community",2020-10-20,"39"
"RladiesMilan",2020-10-16,"340"
"RladiesMilan",2020-10-18,"342"
"RladiesMilan",2020-10-21,"343"
"RladiesMilan",2020-10-22,"344"
