Tag,Date,Followers
#rstats,30/09/2020,6921
#datascience,30/09/2020,733198
#statistics,30/09/2020,50896 
#dataanalytics,30/09/2020,92797
#pharmaceutical,30/09/2020,69492
#machinelearning,30/09/2020,1659217
#programming,30/09/2020,6632322 
#JuliaLang,01/10/2020,233
#hpc,01/10/2020,1999
#highperformancecomputing,01/10/2020,242
#Julia,01/10/2020,221
#pharmaceutical,01/10/2020,69529 
#bigdata,01/10/2020,7170582 
#analytics,01/10/2020,6478733
#data,01/10/2020,6156693
#bigdataanalytics,01/10/2020,5823 
